sample_id,window_name,scenario,context,window_offset,window_size,task_id,segment_id,decision_index,current_node,goal_node,candidate_next_nodes,teacher_next_node,is_branch_node,is_source_retry,current_time,task_entry_time,deadline_or_std,time_slack,candidate_shortest_time_to_goal,candidate_travel_time,candidate_service_time,candidate_node_type,candidate_fault_status,local_node_time_window_pressure,local_queue_or_occupancy_summary,g4d_enhanced_features,source_retry_age_seconds,source_retry_pressure,unfinished_task_queue_size_near_current_source,label_type,split,route_row_index,edge_capacity_primary
g4d_source_retry_0000139,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,18,18:storage_in,-1,0,47,[6],,False,True,10684.10647,10684.10647,24000,13315.89353,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},1.89353,2,2,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000263,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,33,33:storage_in,-1,0,47,[6],,False,True,11281.43983,11281.43983,24900,13618.56017,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},0.56017,1,1,WAIT_AT_SOURCE_RETRY,val,,False
g4d_source_retry_0000397,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,49,49:storage_in,-1,0,47,[6],,False,True,11881.27115,11881.27115,24000,12118.72885,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},1.72885,2,2,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000444,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,54,54:storage_in,-1,0,47,[6],,False,True,11889.47782,11889.47782,25200,13310.52218,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},0.52218,1,1,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000588,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,71,71:storage_in,-1,4,47,[17],,False,True,12485.3062,12485.3062,25800,13314.6938,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",0,"{""out_degree"": 1}",{},1.29828,2,2,WAIT_AT_SOURCE_RETRY,test,,False
g4d_source_retry_0000607,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,72,72:storage_in,-1,0,47,[6],,False,True,12486.60448,12486.60448,23400,10913.39552,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},2.39552,4,4,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000667,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,80,80:storage_in,-1,0,47,[6],,False,True,13050.16178,13050.16178,26400,13349.83822,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},1.6835,2,2,WAIT_AT_SOURCE_RETRY,test,,False
g4d_source_retry_0000711,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,84,84:storage_in,-1,4,47,[17],,False,True,13059.8454,13059.8454,24000,10940.1546,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",0,"{""out_degree"": 1}",{},1.1546,3,3,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000748,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,89,89:storage_in,-1,4,47,[17],,False,True,13067.84538,13067.84538,23100,10032.15462,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",0,"{""out_degree"": 1}",{},1.15462,3,3,WAIT_AT_SOURCE_RETRY,val,,False
g4d_source_retry_0000756,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,90,90:storage_in,-1,0,47,[6],,False,True,13067.93782,13067.93782,25200,12132.06218,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},2.06218,4,4,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000766,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,91,91:storage_in,-1,4,47,[17],,False,True,13069.4367,13069.4367,25200,12130.5633,"{""17"": 36.8}","{""17"": 3.6}","{""17"": 1.0}","{""17"": 5}","{""17"": false}",0,"{""out_degree"": 1}",{},1.5633,2,2,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000805,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,95,95:storage_in,-1,0,47,[6],,False,True,13078.60448,13078.60448,24600,11521.39552,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},0.39552,1,1,WAIT_AT_SOURCE_RETRY,train,,False
g4d_source_retry_0000864,g4d_first144_no_fault,g4d_first144_no_fault,real_inputdata_window,0,144,101,101:storage_in,-1,0,47,[6],,False,True,13086.77314,13086.77314,26400,13313.22686,"{""6"": 35.2}","{""6"": 3.2}","{""6"": 1.0}","{""6"": 4}","{""6"": false}",0,"{""out_degree"": 1}",{},1.33443,3,3,WAIT_AT_SOURCE_RETRY,train,,False
