attempt,status,command,returncode,stdout_excerpt,stderr_excerpt,notes
locate_original_ics_project,PASS,,,,,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation
locate_javac,PASS,javac -version,,C:\PROGRAMING\jdk-18\bin\javac.EXE,,Java compiler needed for read-only baseline attempt.
compile_original_java_read_only,FAIL,C:\PROGRAMING\jdk-18\bin\javac.EXE -encoding UTF-8 -sourcepath C:/STUDY/民航二所项目相关/冯汝琛相关材料/冯汝琛相关材料/ICS项目/代码-ICSsimulation/src -d @sources,1,,"C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\communication\decode1.java:2: 错误: 程序包io.netty.buffer不存在
import io.netty.buffer.ByteBuf;
                      ^
C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\communication\decode1.java:3: 错误: 程序包io.netty.channel不存在
import io.netty.channel.ChannelHandlerContext;
                       ^
C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\communication\decode1.java:4: 错误: 程序包io.netty.handler.codec不存在
import io.net",compiled 15 source files into temporary directory; original tree not modified
