dimension,bucket,original_count,generated_count,original_share,generated_share,abs_delta,claim_level
source,0,3200,25600,0.07338945,0.07338945,0,distribution_preserving_resample
source,1,3193,25544,0.07322891,0.07322891,0,distribution_preserving_resample
source,2,3199,25592,0.07336651,0.07336651,0,distribution_preserving_resample
source,3,4887,39096,0.11207944,0.11207944,0,distribution_preserving_resample
source,4,4887,39096,0.11207944,0.11207944,0,distribution_preserving_resample
source,5,4886,39088,0.11205651,0.11205651,0,distribution_preserving_resample
source,52,15097,120776,0.34623764,0.34623764,0,distribution_preserving_resample
source,53,4254,34032,0.09756209,0.09756209,0,distribution_preserving_resample
goal,47,15097,120776,0.34623764,0.34623764,0,distribution_preserving_resample
goal,48,6306,50448,0.14462308,0.14462308,0,distribution_preserving_resample
goal,49,13301,106408,0.30504782,0.30504782,0,distribution_preserving_resample
goal,50,8899,71192,0.20409146,0.20409146,0,distribution_preserving_resample
