gate,status,violation_count,row_count,key_metrics_json,detail_sample
git_provenance_and_state_clean,FAIL,1,,{},worktree is not clean
fixed_real_map_identity_and_topology,PASS,0,,{},
paper_scenario_exact_set_hash_status,FAIL,111,37,"{""actual_count"": 37, ""expected_count"": 37}",paper_main_2_5_repeat_1: status <missing> != EXECUTED | paper_main_2_5_repeat_1: executable command is missing | paper_main_2_5_repeat_1: command return code is missing
optional_executed_or_explicit_blocker,FAIL,4,17,"{""expected_count"": 4}",high_flow_no_fault_16x: optional status <missing> is neither EXECUTED nor an explicit blocker | high_flow_no_fault_32x_smoke: optional status <missing> is neither EXECUTED nor an explicit blocker | rolling_2_day_1x: optional status <missing> is neither EXECUTED nor an explicit blocker
hard_case_stratified_coverage_and_validity,FAIL,200004,50000,"{""duplicate_fraction"": 0.12794, ""fault_count"": 0, ""high_flow_count"": 0, ""invalid_candidate_count"": 50000, ""invalid_decision_semantics_count"": 50000, ""invalid_sampling_evidence_count"": 50000, ""invalid_source_goal_count"": 50000, ""max_scenario_family_fraction"": 1.0, ""tail_count"": 2706}",hard-case row 0 has invalid/missing true outgoing candidates or selection | hard-case row 0 lacks canonical-map source/goal identity | hard-case row 0 lacks a positive sample_weight or stratum_id
runtime_feature_field_lineage_no_leakage,PASS,0,,"{""lineage_field_count"": 86, ""runtime_feature_count"": 22, ""runtime_state_field_count"": 38}",
