baseline,baseline_mean,bootstrap_ci_high,bootstrap_ci_low,load_factor,map,mean_delta_reference_minus_baseline,metric,missing_seed_count,missing_seeds,paired_seed_count,preferred_direction,reference,reference_loss_count,reference_mean,reference_win_count,status,tie_count
FENG_DH_BOUNDARY_CLEARANCE_V5,28506.0,0.0,0.0,1.0,map2,0.0,completed_raw_bag_count,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,28506.0,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,1044.3989863523952,0.0,0.0,1.0,map2,0.0,completed_raw_bags_per_fixed_horizon_hour,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,1044.3989863523952,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,1.0,0.0,0.0,1.0,map2,0.0,completion_rate,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,1.0,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,0.0,0.0,0.0,1.0,map2,0.0,missed_bag_count,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,0.0,0.0,0.0,1.0,map2,0.0,missed_bag_rate,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,0.0,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,6489902.600000332,-500911.2453589286,-514926.7496602598,1.0,map2,-507705.09445928445,network_backlog_area_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,5982197.505541047,10,COMPLETE,0
FENG_DH_BOUNDARY_CLEARANCE_V5,1.0,0.0,0.0,1.0,map2,0.0,on_time_rate,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,1.0,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,28506.0,0.0,0.0,1.0,map2,0.0,on_time_raw_bag_count,0,,10,higher,G31_S4_NATIVE_SYSTEM,0,28506.0,0,COMPLETE,10
FENG_DH_BOUNDARY_CLEARANCE_V5,1038.28,-503.345055550007,-521.576934350006,1.0,map2,-512.1805420000063,population_latency_max_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,526.0994579999937,10,COMPLETE,0
FENG_DH_BOUNDARY_CLEARANCE_V5,292.2258359644,-54.62638019618248,-55.55526127990704,1.0,map2,-55.074420295472535,population_latency_mean_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,237.15141566892748,10,COMPLETE,0
FENG_DH_BOUNDARY_CLEARANCE_V5,613.8149999999999,-271.3158509312486,-279.14217956875825,1.0,map2,-275.08864150000494,population_latency_p95_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,338.72635849999506,10,COMPLETE,0
FENG_DH_BOUNDARY_CLEARANCE_V5,814.447,-408.33917864250634,-418.6732345012559,1.0,map2,-413.2831679000061,population_latency_p99_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,401.1638320999939,10,COMPLETE,0
FENG_DH_BOUNDARY_CLEARANCE_V5,65278867.75305299,-1117719.3186689848,-1119341.966095428,1.0,map2,-1118513.1217490002,source_backlog_area_seconds,0,,10,lower,G31_S4_NATIVE_SYSTEM,0,64160354.63130398,10,COMPLETE,0
