policy_variant,source_table,task_count,planned_count,node_window_conflicts,runtime_full_cie_astar_calls,edge_overlap_diagnostic_only,edge_capacity_primary_constraint,policy_runtime_status,promoted_to_runtime,notes
edge_diag_only,outputs/tables/g4irsf2_edge_pressure_sweep.csv,8192,8192,0,0,370231,False,G4IRSF2_DIAGNOSTIC_SHADOW_REUSED,False,Edge pressure is diagnostic; edge_capacity=1 is not a main constraint.
soft_edge_pressure_low,outputs/tables/g4irsf2_edge_pressure_sweep.csv,8192,8192,0,0,370231,False,G4IRSF2_DIAGNOSTIC_SHADOW_REUSED,False,Edge pressure is diagnostic; edge_capacity=1 is not a main constraint.
soft_edge_pressure_mid,outputs/tables/g4irsf2_edge_pressure_sweep.csv,8192,8192,0,0,370231,False,G4IRSF2_DIAGNOSTIC_SHADOW_REUSED,False,Edge pressure is diagnostic; edge_capacity=1 is not a main constraint.
soft_edge_pressure_high,outputs/tables/g4irsf2_edge_pressure_sweep.csv,8192,8192,0,0,370231,False,G4IRSF2_DIAGNOSTIC_SHADOW_REUSED,False,Edge pressure is diagnostic; edge_capacity=1 is not a main constraint.
edge_headway_shadow_audit,outputs/tables/g4irsf2_edge_pressure_sweep.csv,8192,8192,0,0,370231,False,G4IRSF2_DIAGNOSTIC_SHADOW_REUSED,False,Edge pressure is diagnostic; edge_capacity=1 is not a main constraint.
fault_aware_dead_end_pressure_depth3_shadow,outputs/tables/g4irsf3_fault_18_22_policy_variant_results.csv,4096,2946,not_evaluated_shadow,0,not_used,False,SHADOW_LOCAL_POLICY_PROXY_NOT_PROMOTED,False,"Local fault pressure is about avoiding a broken dead-end corridor, not imposing conveyor edge capacity."
