start,end,directed_edge,length,speed,travel_time,start_node_type,start_node_role,end_node_type,end_node_role,start_out_degree,end_in_degree,is_split_exit,is_merge_entry,reverse_edge_exists,reverse_directed_edge,current_undirected_corridor_key,current_corridor_directed_member_count,current_corridor_directed_members,current_cross_direction_calendar_share,direction_aliasing_audit,weak_projection_bridge,start_weak_projection_articulation,end_weak_projection_articulation,start_scc_id,start_scc_size,end_scc_id,end_scc_size,weak_component_id
0,6,0->6,8.0,2.5,3.2,1,source,4,declared_split,1,1,False,False,False,,0<->6,1,0->6,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC000,1,SCC006,1,WCC000
1,7,1->7,12.0,2.5,4.8,1,source,5,declared_merge,1,2,False,True,False,,1<->7,1,1->7,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC001,1,SCC007,1,WCC000
2,9,2->9,9.0,2.5,3.6,1,source,4,declared_split,1,1,False,False,False,,2<->9,1,2->9,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC002,1,SCC009,1,WCC000
3,16,3->16,4.0,2.5,1.6,1,source,4,declared_split,1,1,False,False,False,,3<->16,1,3->16,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC003,1,SCC013,1,WCC000
4,17,4->17,9.0,2.5,3.6,1,source,5,declared_merge,1,2,False,True,False,,4<->17,1,4->17,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC004,1,SCC014,1,WCC000
5,19,5->19,4.0,2.5,1.6,1,source,4,declared_split,1,1,False,False,False,,5<->19,1,5->19,False,NO_REVERSE_EDGE_TO_ALIAS,True,False,True,SCC005,1,SCC016,1,WCC000
6,8,6->8,7.0,2.5,2.8,4,declared_split,5,declared_merge,2,2,True,True,False,,6<->8,1,6->8,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC006,1,SCC008,1,WCC000
6,12,6->12,25.0,2.5,10.0,4,declared_split,5,declared_merge,2,2,True,True,False,,6<->12,1,6->12,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC006,1,SCC012,24,WCC000
7,8,7->8,4.0,2.5,1.6,5,declared_merge,5,declared_merge,1,2,False,True,False,,7<->8,1,7->8,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC007,1,SCC008,1,WCC000
8,11,8->11,8.0,2.5,3.2,5,declared_merge,4,declared_split,1,1,False,False,False,,8<->11,1,8->11,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC008,1,SCC011,1,WCC000
9,7,9->7,7.0,2.5,2.8,4,declared_split,5,declared_merge,2,2,True,True,False,,7<->9,1,9->7,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,True,SCC009,1,SCC007,1,WCC000
9,10,9->10,20.0,2.5,8.0,4,declared_split,5,declared_merge,2,2,True,True,False,,9<->10,1,9->10,False,NO_REVERSE_EDGE_TO_ALIAS,False,True,False,SCC009,1,SCC010,1,WCC000
10,15,10->15,36.0,2.5,14.4,5,declared_merge,5,declared_merge,1,2,False,True,False,,10<->15,1,10->15,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC010,1,SCC012,24,WCC000
11,13,11->13,28.0,2.5,11.2,4,declared_split,5,declared_merge,2,2,True,True,False,,11<->13,1,11->13,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC011,1,SCC012,24,WCC000
11,14,11->14,32.0,2.5,12.8,4,declared_split,5,declared_merge,2,2,True,True,False,,11<->14,1,11->14,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC011,1,SCC012,24,WCC000
12,13,12->13,10.0,2.5,4.0,5,declared_merge,5,declared_merge,1,2,False,True,False,,12<->13,1,12->13,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
13,23,13->23,8.0,2.5,3.2,5,declared_merge,5,declared_merge,1,2,False,True,False,,13<->23,1,13->23,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
14,46,14->46,4.0,2.5,1.6,5,declared_merge,4,declared_split,1,1,False,False,False,,14<->46,1,14->46,False,NO_REVERSE_EDGE_TO_ALIAS,False,False,False,SCC012,24,SCC012,24,WCC000
