schema,map,load_factor,status,metric,metric_label,preferred_direction,arm_a,arm_b,paired_seed_count,expected_seed_count,missing_seeds,failed_seeds,p0d0_mean,p1d1_mean,mean_delta_p1d1_minus_p0d0,relative_delta_vs_p0d0_percent,relative_delta_status,paired_cohen_dz,paired_cohen_dz_status,seed_win_count,seed_tie_count,seed_loss_count,failed_seed_count,failed_seed_rate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,confidence_level,timing_protocol
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,completed_raw_bag_count,completed raw bags,higher,P0D0,P1D1,10,10,,,28506.0,28506.0,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,completion_rate,raw-bag completion rate,higher,P0D0,P1D1,10,10,,,1.0,1.0,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,on_time_raw_bag_count,fixed-denominator on-time bags,higher,P0D0,P1D1,10,10,,,28506.0,28506.0,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,on_time_rate,fixed-denominator on-time rate,higher,P0D0,P1D1,10,10,,,1.0,1.0,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,missed_bag_count,fixed-denominator missed bags,lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,missed_bag_rate,fixed-denominator missed rate,lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_sum_seconds,all-population tardiness sum (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_mean_seconds,all-population tardiness mean (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_p95_seconds,all-population tardiness P95 (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_p99_seconds,all-population tardiness P99 (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_max_seconds,all-population tardiness max (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,time_to_90_percent_seconds,time to 90% completion (s),lower,P0D0,P1D1,10,10,,,62932.36571057767,62932.36571057767,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,time_to_95_percent_seconds,time to 95% completion (s),lower,P0D0,P1D1,10,10,,,67286.6956821047,67286.6956821047,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,time_to_99_percent_seconds,time to 99% completion (s),lower,P0D0,P1D1,10,10,,,71125.82386602112,71121.64363341678,-4.180232604336925,-0.005877236110770653,AVAILABLE,-6.581399019324724,AVAILABLE,10,0,0,0,0.0,-4.546397257859244,-3.803809687793946,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,total_backlog_area_seconds,total raw-bag backlog area (bag-s),lower,P0D0,P1D1,10,10,,,72155290.9876335,72146210.94542764,-9080.04220585078,-0.012584028255678413,AVAILABLE,-4.958149862584729,AVAILABLE,10,0,0,0,0.0,-10185.38131775841,-8058.170644390025,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,total_backlog_peak,total raw-bag backlog peak,lower,P0D0,P1D1,10,10,,,2367.9,2367.7,-0.2,-0.00844630263102327,AVAILABLE,-0.31622776601683794,AVAILABLE,1,9,0,0,0.0,-0.6,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,source_backlog_area_seconds,source backlog area (bag-s),lower,P0D0,P1D1,10,10,,,66873541.07117891,66873541.07117891,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,network_backlog_area_seconds,network backlog area (bag-s),lower,P0D0,P1D1,10,10,,,5281749.916454527,5272669.87424854,-9080.042205986752,-0.17191352013277258,AVAILABLE,-4.958149862725674,AVAILABLE,10,0,0,0,0.0,-10202.061048671896,-8071.96691530976,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,population_latency_mean_seconds,1x full-population mean THT (s),lower,P0D0,P1D1,10,10,,,213.05963290596384,211.95702796982204,-1.102604936141796,-0.5175100140290031,AVAILABLE,-4.2531083808451555,AVAILABLE,10,0,0,0,0.0,-1.2508348214514564,-0.9491796979271807,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,population_latency_p95_seconds,1x full-population P95 THT (s),lower,P0D0,P1D1,10,10,,,252.33699121917658,249.2933728606243,-3.043618358552294,-1.2061720890967775,AVAILABLE,-2.241083940624572,AVAILABLE,10,0,0,0,0.0,-3.8666889347676716,-2.282168406886865,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,population_latency_p99_seconds,1x full-population P99 THT (s),lower,P0D0,P1D1,10,10,,,275.1819673209287,263.75224014759027,-11.429727173338467,-4.15351604780434,AVAILABLE,-4.016912808882994,AVAILABLE,10,0,0,0,0.0,-13.116936421254616,-9.724557777212222,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.0,COMPLETE_FROZEN_PAIRED_SEEDS,population_latency_max_seconds,1x full-population max THT (s),lower,P0D0,P1D1,10,10,,,321.17131720430154,304.18853568690463,-16.98278151739687,-5.287764070972093,AVAILABLE,-1.6978982685211048,AVAILABLE,9,1,0,0,0.0,-22.65602816408277,-11.091069661229032,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,completed_raw_bag_count,completed raw bags,higher,P0D0,P1D1,10,10,,,49765.0,49765.0,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,completion_rate,raw-bag completion rate,higher,P0D0,P1D1,10,10,,,1.0,1.0,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,on_time_raw_bag_count,fixed-denominator on-time bags,higher,P0D0,P1D1,10,10,,,49635.2,49754.7,119.5,0.240756559860744,AVAILABLE,1.5980515915181916,AVAILABLE,10,0,0,0,0.0,76.4,163.80249999999998,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,on_time_rate,fixed-denominator on-time rate,higher,P0D0,P1D1,10,10,,,0.9973917411835627,0.9997930272279716,0.0024012860444087127,0.24075655986074318,AVAILABLE,1.598051591518176,AVAILABLE,10,0,0,0,0.0,0.001543253290465185,0.0032935295890686423,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,missed_bag_count,fixed-denominator missed bags,lower,P0D0,P1D1,10,10,,,129.8,10.3,-119.5,-92.06471494607086,AVAILABLE,-1.5980515915181916,AVAILABLE,10,0,0,0,0.0,-164.9,-76.1,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,missed_bag_rate,fixed-denominator missed rate,lower,P0D0,P1D1,10,10,,,0.0026082588164372477,0.00020697277202853527,-0.0024012860444087127,-92.06471494607082,AVAILABLE,-1.598051591518176,AVAILABLE,10,0,0,0,0.0,-0.0032954887973475344,-0.0015351652768009448,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_sum_seconds,all-population tardiness sum (s),lower,P0D0,P1D1,10,10,,,69706.29171207098,4308.777820275077,-65397.513891795905,-93.81866727601445,AVAILABLE,-1.073083270444198,AVAILABLE,10,0,0,0,0.0,-103529.66218138838,-32527.987825895034,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_mean_seconds,all-population tardiness mean (s),lower,P0D0,P1D1,10,10,,,1.4007091673278607,0.08658249412790268,-1.314126673199958,-93.81866727601444,AVAILABLE,-1.0730832704441977,AVAILABLE,10,0,0,0,0.0,-2.1079701825973727,-0.6649424043463866,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_p95_seconds,all-population tardiness P95 (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_p99_seconds,all-population tardiness P99 (s),lower,P0D0,P1D1,10,10,,,0.0,0.0,0.0,,N_M_ZERO_P0D0_MEAN,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,tardiness_max_seconds,all-population tardiness max (s),lower,P0D0,P1D1,10,10,,,1204.5929912723666,291.2645554283023,-913.3284358440644,-75.82050057250869,AVAILABLE,-1.9671472737064584,AVAILABLE,10,0,0,0,0.0,-1184.386131058231,-636.5874065027369,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,time_to_90_percent_seconds,time to 90% completion (s),lower,P0D0,P1D1,10,10,,,64335.38568395229,64335.884384098055,0.4987001457659062,0.0007751568448128556,AVAILABLE,0.7268751318608225,AVAILABLE,0,6,4,0,0.0,0.10712038224301068,0.9266637663677102,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
czr005.cie_random_robustness.paired_summary.v1,map2,1.75,COMPLETE_FROZEN_PAIRED_SEEDS,time_to_95_percent_seconds,time to 95% completion (s),lower,P0D0,P1D1,10,10,,,67876.7377645784,67876.7377645784,0.0,0.0,AVAILABLE,,N_M_ZERO_PAIRED_DIFFERENCE_SAMPLE_SD,0,10,0,0,0.0,0.0,0.0,10000,0.95,FULL_POPULATION_ONLY_NO_SURVIVOR_TIMING
