event,count
released_segments,76103
entered_segments,76103
move_commits,61656346
stopped_ticks,48503891
holds,1708602599
entry_stopped_holds,1246248672
entry_moving_holds,274480595
local_fifo_conflict_holds,139369441
following_footprint_holds,38639051
junction_through_busy_holds,1198472
no_path_holds,0
route_decisions,1661172611
tied_route_decisions,7434
