runtime_bag_id,task_id,segment_id,off_tth_seconds,closed_loop_tth_seconds,closed_loop_minus_off_tth_seconds,off_completed,closed_loop_completed,off_deadline_miss,closed_loop_deadline_miss
1162,581,581:storage_in,47.401999999998225,47.401999999998225,0.0,True,True,False,False
1163,581,581:storage_out,146.40199999999822,146.40199999999822,0.0,True,True,False,False
1164,582,582:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1165,582,582:storage_out,232.40199999999822,232.40199999999822,0.0,True,True,False,False
1166,583,583:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1167,583,583:storage_out,233.40199999999822,233.40199999999822,0.0,True,True,False,False
1168,584,584:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1169,584,584:storage_out,234.40199999999822,234.40199999999822,0.0,True,True,False,False
1170,585,585:storage_in,50.00199999999677,50.00199999999677,0.0,True,True,False,False
1171,585,585:storage_out,189.40199999999822,189.40199999999822,0.0,True,True,False,False
1172,586,586:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1173,586,586:storage_out,235.40199999999822,235.40199999999822,0.0,True,True,False,False
1174,587,587:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1175,587,587:storage_out,236.40199999999822,236.40199999999822,0.0,True,True,False,False
1176,588,588:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1177,588,588:storage_out,213.40199999999822,213.40199999999822,0.0,True,True,False,False
1178,589,589:storage_in,45.401999999998225,45.401999999998225,0.0,True,True,False,False
1179,589,589:storage_out,211.65199999999822,211.65199999999822,0.0,True,True,False,False
1180,590,590:storage_in,50.00199999999677,50.00199999999677,0.0,True,True,False,False
1181,590,590:storage_out,192.40199999999822,192.40199999999822,0.0,True,True,False,False
1182,591,591:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1183,591,591:storage_out,237.40199999999822,237.40199999999822,0.0,True,True,False,False
1184,592,592:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1185,592,592:storage_out,214.40199999999822,214.40199999999822,0.0,True,True,False,False
1186,593,593:storage_in,45.401999999998225,45.401999999998225,0.0,True,True,False,False
1187,593,593:storage_out,234.15199999999822,234.15199999999822,0.0,True,True,False,False
1188,594,594:storage_in,51.25199999999677,51.25199999999677,0.0,True,True,False,False
1189,594,594:storage_out,235.15199999999822,235.15199999999822,0.0,True,True,False,False
1190,595,595:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1191,595,595:storage_out,255.65199999999822,255.65199999999822,0.0,True,True,False,False
1192,596,596:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1193,596,596:storage_out,238.40199999999822,238.40199999999822,0.0,True,True,False,False
1194,597,597:storage_in,45.401999999998225,45.401999999998225,0.0,True,True,False,False
1195,597,597:storage_out,192.90199999999822,192.90199999999822,0.0,True,True,False,False
1196,598,598:storage_in,50.00199999999677,50.00199999999677,0.0,True,True,False,False
1197,598,598:storage_out,236.15199999999822,236.15199999999822,0.0,True,True,False,False
1198,599,599:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1199,599,599:storage_out,198.15199999999822,198.15199999999822,0.0,True,True,False,False
1200,600,600:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1201,600,600:storage_out,197.15199999999822,197.15199999999822,0.0,True,True,False,False
1202,601,601:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1203,601,601:storage_out,154.40199999999822,154.40199999999822,0.0,True,True,False,False
1204,602,602:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1205,602,602:storage_out,163.40199999999822,163.40199999999822,0.0,True,True,False,False
1206,603,603:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1207,603,603:storage_out,155.40199999999822,155.40199999999822,0.0,True,True,False,False
1208,604,604:storage_in,46.901999999998225,46.901999999998225,0.0,True,True,False,False
1209,604,604:storage_out,238.15199999999822,238.15199999999822,0.0,True,True,False,False
1210,605,605:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1211,605,605:storage_out,228.4519999999975,228.4519999999975,0.0,True,True,False,False
1212,606,606:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1213,606,606:storage_out,164.40199999999822,164.40199999999822,0.0,True,True,False,False
1214,607,607:storage_in,50.00199999999677,50.00199999999677,0.0,True,True,False,False
1215,607,607:storage_out,232.90199999999822,232.90199999999822,0.0,True,True,False,False
1216,608,608:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1217,608,608:storage_out,195.40199999999822,195.40199999999822,0.0,True,True,False,False
1218,609,609:storage_in,45.401999999998225,45.401999999998225,0.0,True,True,False,False
1219,609,609:storage_out,215.40199999999822,215.40199999999822,0.0,True,True,False,False
1220,610,610:storage_in,50.00199999999677,50.00199999999677,0.0,True,True,False,False
1221,610,610:storage_out,186.40199999999822,186.40199999999822,0.0,True,True,False,False
1222,611,611:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1223,611,611:storage_out,193.90199999999822,193.90199999999822,0.0,True,True,False,False
1224,612,612:storage_in,52.601999999995314,52.601999999995314,0.0,True,True,False,False
1225,612,612:storage_out,219.40199999999822,219.65199999999822,0.25,True,True,False,False
1226,613,613:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1227,613,613:storage_out,239.40199999999822,239.40199999999822,0.0,True,True,False,False
1228,614,614:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1229,614,614:storage_out,240.40199999999822,240.40199999999822,0.0,True,True,False,False
1230,615,615:storage_in,45.401999999998225,45.401999999998225,0.0,True,True,False,False
1231,615,615:storage_out,256.6519999999982,256.6519999999982,0.0,True,True,False,False
1232,616,616:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1233,616,616:storage_out,156.40199999999822,156.40199999999822,0.0,True,True,False,False
1234,617,617:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1235,617,617:storage_out,206.2019999999975,206.2019999999975,0.0,True,True,False,False
1236,618,618:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1237,618,618:storage_out,207.2019999999975,207.2019999999975,0.0,True,True,False,False
1238,619,619:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1239,619,619:storage_out,208.2019999999975,208.2019999999975,0.0,True,True,False,False
1240,620,620:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1241,620,620:storage_out,209.2019999999975,209.2019999999975,0.0,True,True,False,False
1242,621,621:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1243,621,621:storage_out,165.40199999999822,165.40199999999822,0.0,True,True,False,False
1244,622,622:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1245,622,622:storage_out,166.40199999999822,166.40199999999822,0.0,True,True,False,False
1246,623,623:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1247,623,623:storage_out,167.40199999999822,167.40199999999822,0.0,True,True,False,False
1248,624,624:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1249,624,624:storage_out,168.40199999999822,168.40199999999822,0.0,True,True,False,False
1250,625,625:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1251,625,625:storage_out,169.40199999999822,169.40199999999822,0.0,True,True,False,False
1252,626,626:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1253,626,626:storage_out,210.2019999999975,210.2019999999975,0.0,True,True,False,False
1254,627,627:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1255,627,627:storage_out,211.2019999999975,211.2019999999975,0.0,True,True,False,False
1256,628,628:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1257,628,628:storage_out,194.90199999999822,194.90199999999822,0.0,True,True,False,False
1258,629,629:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1259,629,629:storage_out,241.40199999999822,241.40199999999822,0.0,True,True,False,False
1260,630,630:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1261,630,630:storage_out,242.40199999999822,242.40199999999822,0.0,True,True,False,False
1262,631,631:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1263,631,631:storage_out,156.40199999999822,156.40199999999822,0.0,True,True,False,False
1264,632,632:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1265,632,632:storage_out,234.90199999999822,234.90199999999822,0.0,True,True,False,False
1266,633,633:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1267,633,633:storage_out,239.15199999999822,239.15199999999822,0.0,True,True,False,False
1268,634,634:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1269,634,634:storage_out,235.90199999999822,235.90199999999822,0.0,True,True,False,False
1270,635,635:storage_in,46.80199999999604,46.80199999999604,0.0,True,True,False,False
1271,635,635:storage_out,257.6519999999982,257.6519999999982,0.0,True,True,False,False
1272,636,636:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1273,636,636:storage_out,170.40199999999822,170.40199999999822,0.0,True,True,False,False
1274,637,637:storage_in,45.401999999998225,45.401999999998225,0.0,True,True,False,False
1275,637,637:storage_out,155.40199999999822,155.40199999999822,0.0,True,True,False,False
1276,638,638:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1277,638,638:storage_out,211.4519999999975,211.4519999999975,0.0,True,True,False,False
1278,639,639:storage_in,156.00362999998833,156.00362999998833,0.0,True,True,False,False
1279,639,639:storage_out,152.40199999999822,152.40199999999822,0.0,True,True,False,False
1280,640,640:storage_in,87.9778899999983,88.22365999999602,0.24576999999771942,True,True,False,False
1281,640,640:storage_out,197.90199999999822,197.90199999999822,0.0,True,True,False,False
1282,641,641:storage_in,54.25068999999712,54.25068999999712,0.0,True,True,False,False
1283,641,641:storage_out,271.7019999999975,271.7019999999975,0.0,True,True,False,False
1284,642,642:storage_in,46.401999999998225,46.401999999998225,0.0,True,True,False,False
1285,642,642:storage_out,272.7019999999975,272.7019999999975,0.0,True,True,False,False
1286,643,643:storage_in,49.25199999999677,49.25199999999677,0.0,True,True,False,False
1287,643,643:storage_out,157.40199999999822,157.40199999999822,0.0,True,True,False,False
1288,644,644:storage_in,83.37982999999804,83.62559999999576,0.24576999999771942,True,True,False,False
1289,644,644:storage_out,198.90199999999822,198.90199999999822,0.0,True,True,False,False
1290,645,645:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1291,645,645:storage_out,295.4519999999975,295.4519999999975,0.0,True,True,False,False
1292,646,646:storage_in,49.30273999999554,49.30273999999554,0.0,True,True,False,False
1293,646,646:storage_out,173.15199999999822,173.15199999999822,0.0,True,True,False,False
1294,647,647:storage_in,82.0046699999948,82.20887999999468,0.20420999999987544,True,True,False,False
1295,647,647:storage_out,199.90199999999822,199.90199999999822,0.0,True,True,False,False
1296,648,648:storage_in,49.00199999999677,49.00199999999677,0.0,True,True,False,False
1297,648,648:storage_out,156.40199999999822,156.40199999999822,0.0,True,True,False,False
1298,649,649:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1299,649,649:storage_out,158.40199999999822,158.40199999999822,0.0,True,True,False,False
1300,650,650:storage_in,100.0991599999943,100.0991599999943,0.0,True,True,False,False
1301,650,650:storage_out,216.40199999999822,216.40199999999822,0.0,True,True,False,False
1302,651,651:storage_in,49.46215999999913,49.46215999999913,0.0,True,True,False,False
1303,651,651:storage_out,233.4519999999975,233.7019999999975,0.25,True,True,False,False
1304,652,652:storage_in,56.65347999999722,56.65347999999722,0.0,True,True,False,False
1305,652,652:storage_out,159.40199999999822,159.40199999999822,0.0,True,True,False,False
1306,653,653:storage_in,45.60199999999895,45.60199999999895,0.0,True,True,False,False
1307,653,653:storage_out,243.40199999999822,243.40199999999822,0.0,True,True,False,False
1308,654,654:storage_in,50.941839999995864,50.941839999995864,0.0,True,True,False,False
1309,654,654:storage_out,200.90199999999822,200.90199999999822,0.0,True,True,False,False
1310,655,655:storage_in,145.60074999998687,145.60074999998687,0.0,True,True,False,False
1311,655,655:storage_out,184.40199999999822,184.40199999999822,0.0,True,True,False,False
1312,656,656:storage_in,67.89447999999902,67.89447999999902,0.0,True,True,False,False
1313,656,656:storage_out,220.40199999999822,220.65199999999822,0.25,True,True,False,False
1314,657,657:storage_in,54.70750999999291,54.70750999999291,0.0,True,True,False,False
1315,657,657:storage_out,273.7019999999975,273.7019999999975,0.0,True,True,False,False
1316,658,658:storage_in,49.50199999999677,49.50199999999677,0.0,True,True,False,False
1317,658,658:storage_out,244.40199999999822,244.40199999999822,0.0,True,True,False,False
