execution,runtime_bag_id,task_id,segment_id,release_time,finish_time,deadline,completed,failed,failure_reason,tth_seconds,deadline_miss,decision_count,retry_count,junction_queue_wait_seconds,merge_grant_wait_seconds
off,4259,2308,2308:storage_out,25800.0,26024.652,28500.0,True,False,,224.65199999999822,False,7,2,23.0,0.5
off,4260,2309,2309:storage_in,20270.57117,20323.159059999998,27000.0,True,False,,52.58788999999888,False,7,9,6.185890000000654,3.809030000000348
off,4261,2309,2309:storage_out,24300.0,24555.951999999997,27000.0,True,False,,255.9519999999975,False,4,3,24.0,0.75
off,4262,2310,2310:direct,20270.72926,20475.231259999993,24600.0,True,False,,204.50199999999313,False,9,2,0.5,0.5
off,4263,2311,2311:direct,20270.90706,20463.659059999998,24600.0,True,False,,192.75199999999677,False,12,16,3.75,3.75
off,4264,2312,2312:direct,20271.08418,20472.486179999996,24900.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4265,2313,2313:direct,20271.47067,20501.39325,23400.0,True,False,,229.9225800000022,False,7,47,11.520580000003974,11.520580000003974
off,4266,2314,2314:direct,20272.98432,20473.986319999996,24600.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4267,2315,2315:storage_in,20273.23783,20318.839829999997,25200.0,True,False,,45.60199999999895,False,7,0,0.0,0.0
off,4268,2315,2315:storage_out,22500.0,22824.701999999997,25200.0,True,False,,324.7019999999975,False,4,3,23.25,0.75
off,4269,2316,2316:direct,20273.44121,20462.439829999996,24600.0,True,False,,188.99861999999484,False,12,1,0.7966199999973469,0.0
off,4270,2317,2317:storage_in,20274.13729,20342.168609999997,27000.0,True,False,,68.03131999999823,False,7,4,21.22932000000219,0.9753600000040024
off,4271,2317,2317:storage_out,24300.0,24556.951999999997,27000.0,True,False,,256.9519999999975,False,4,3,24.75,0.75
off,4272,2318,2318:storage_in,20275.31833,20338.843249999994,26400.0,True,False,,63.5249199999962,False,7,5,16.72292000000016,0.8499999999985448
off,4273,2318,2318:storage_out,23700.0,24027.902,26400.0,True,False,,327.9019999999982,False,7,3,26.75,0.75
off,4274,2319,2319:direct,20275.54119,20476.943189999995,24600.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4275,2320,2320:storage_in,20275.78392,20324.159059999998,27300.0,True,False,,48.37513999999646,False,7,3,1.9731399999982386,0.75
off,4276,2320,2320:storage_out,24600.0,24771.402,27300.0,True,False,,171.40199999999822,False,6,3,19.5,0.75
off,4277,2321,2321:storage_in,20275.87659,20325.378589999997,25200.0,True,False,,49.50199999999677,False,8,2,0.5,0.5
off,4278,2321,2321:storage_out,22500.0,22825.701999999997,25200.0,True,False,,325.7019999999975,False,4,3,23.25,0.75
off,4279,2322,2322:direct,20276.41751,20480.419509999992,24900.0,True,False,,204.00199999999313,False,9,0,0.0,0.0
off,4280,2323,2323:storage_in,20278.57121,20328.728589999995,25200.0,True,False,,50.15737999999692,False,7,16,3.755379999998695,3.755379999998695
off,4281,2323,2323:storage_out,22500.0,22826.701999999997,25200.0,True,False,,326.7019999999975,False,4,3,23.25,0.75
off,4282,2324,2324:direct,20278.89138,20483.393379999994,24600.0,True,False,,204.50199999999313,False,9,2,0.5,0.5
off,4283,2325,2325:storage_in,20279.39125,20343.29324999999,27000.0,True,False,,63.90199999999095,False,8,4,18.499999999992724,0.8746399999945424
off,4284,2325,2325:storage_out,24300.0,24543.402,27000.0,True,False,,243.40199999999822,False,7,0,24.0,0.0
off,4285,2326,2326:storage_in,20281.0596,20326.6616,29400.0,True,False,,45.60199999999895,False,7,0,0.0,0.0
off,4286,2326,2326:storage_out,26700.0,26875.402,29400.0,True,False,,175.40199999999822,False,6,3,22.5,0.75
off,4287,2327,2327:direct,20281.26722,20482.26922,24600.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4288,2328,2328:storage_in,20281.34027,20327.6616,27000.0,True,False,,46.32132999999885,False,7,1,0.7193299999998999,0.0
off,4289,2328,2328:storage_out,24300.0,24557.951999999997,27000.0,True,False,,257.9519999999975,False,4,2,24.5,0.5
off,4290,2329,2329:direct,20283.83676,20485.238759999993,24600.0,True,False,,201.4019999999946,False,8,0,0.0,0.0
off,4291,2330,2330:storage_in,20283.85866,20332.86066,25200.0,True,False,,49.00199999999677,False,8,0,0.0,0.0
off,4292,2330,2330:storage_out,22500.0,22827.701999999997,25200.0,True,False,,327.7019999999975,False,4,3,23.25,0.75
off,4293,2331,2331:direct,20284.06686,20487.385319999994,24600.0,True,False,,203.31845999999496,False,8,7,1.9164600000003702,1.9164600000003702
off,4294,2332,2332:direct,20284.98332,20479.343249999994,24000.0,True,False,,194.35992999999507,False,14,8,1.7579299999997602,1.7579299999997602
off,4295,2333,2333:direct,20286.38412,20490.886119999992,24600.0,True,False,,204.50199999999313,False,9,2,0.5,0.5
off,4296,2334,2334:direct,20287.50352,20492.00551999999,23400.0,True,False,,204.50199999999313,False,9,2,0.5,0.5
off,4297,2335,2335:direct,20287.83533,20494.43611999999,24600.0,True,False,,206.6007899999895,False,9,9,2.59878999999637,1.9305999999996857
off,4298,2336,2336:direct,20288.6804,20489.682399999998,24600.0,True,False,,201.00199999999677,False,8,0,0.0,0.0
off,4299,2337,2337:storage_in,20289.34032,20335.742319999998,28200.0,True,False,,46.401999999998225,False,7,0,0.0,0.0
off,4300,2337,2337:storage_out,25500.0,25724.951999999997,28200.0,True,False,,224.9519999999975,False,4,0,16.75,0.0
off,4301,2338,2338:direct,20291.31732,20493.219319999993,24600.0,True,False,,201.9019999999946,False,8,2,0.5,0.5
off,4302,2339,2339:storage_in,20292.68349,20339.843249999994,26700.0,True,False,,47.159759999995,False,8,3,1.7577599999967788,0.75
