0 6       0 6 ==8.0
0 8       0 6 8 ==15.0
0 11       0 6 8 11 ==23.0
0 12       0 6 12 ==33.0
0 13       0 6 12 13 ==43.0
0 14       0 6 8 11 14 ==55.0
0 15       0 6 12 13 23 24 27 28 29 30 31 43 15 ==157.0
0 23       0 6 12 13 23 ==51.0
0 24       0 6 12 13 23 24 ==55.0
0 25       0 6 8 11 14 46 36 38 39 40 41 42 25 ==203.0
0 26       0 6 8 11 14 46 36 38 39 40 41 42 25 26 ==211.0
0 27       0 6 12 13 23 24 27 ==59.0
0 28       0 6 12 13 23 24 27 28 ==86.0
0 29       0 6 12 13 23 24 27 28 29 ==99.0
0 30       0 6 12 13 23 24 27 28 29 30 ==105.0
0 31       0 6 12 13 23 24 27 28 29 30 31 ==109.0
0 32       0 6 12 13 23 24 27 28 29 30 31 32 ==113.0
0 33       0 6 12 13 23 24 27 28 29 30 31 32 33 ==141.0
0 34       0 6 12 13 23 24 27 28 29 30 31 32 33 34 ==163.0
0 35       0 6 8 11 14 46 35 ==86.0
0 36       0 6 8 11 14 46 36 ==96.0
0 37       0 6 8 11 14 46 36 38 37 ==150.0
0 38       0 6 8 11 14 46 36 38 ==128.0
0 39       0 6 8 11 14 46 36 38 39 ==149.0
0 40       0 6 8 11 14 46 36 38 39 40 ==163.0
0 41       0 6 8 11 14 46 36 38 39 40 41 ==167.0
0 42       0 6 8 11 14 46 36 38 39 40 41 42 ==193.0
0 43       0 6 12 13 23 24 27 28 29 30 31 43 ==149.0
0 44       0 6 8 11 14 46 36 44 ==115.0
0 45       0 6 12 13 23 24 27 45 ==75.0
0 46       0 6 8 11 14 46 ==59.0
0 47       0 6 12 13 23 24 27 28 47 ==96.0
0 48       0 6 12 13 23 24 27 45 48 ==85.0
0 49       0 6 12 13 23 24 27 28 29 30 31 32 37 49 ==160.0
0 50       0 6 8 11 14 46 36 44 50 ==125.0
0 51       0 6 8 11 14 46 35 51 ==96.0
1 7       1 7 ==12.0
1 8       1 7 8 ==16.0
1 11       1 7 8 11 ==24.0
1 12       1 7 8 11 13 23 24 27 28 29 30 31 32 33 34 12 ==201.0
1 13       1 7 8 11 13 ==52.0
1 14       1 7 8 11 14 ==56.0
1 15       1 7 8 11 13 23 24 27 28 29 30 31 43 15 ==166.0
1 23       1 7 8 11 13 23 ==60.0
1 24       1 7 8 11 13 23 24 ==64.0
1 25       1 7 8 11 14 46 36 38 39 40 41 42 25 ==204.0
1 26       1 7 8 11 14 46 36 38 39 40 41 42 25 26 ==212.0
1 27       1 7 8 11 13 23 24 27 ==68.0
1 28       1 7 8 11 13 23 24 27 28 ==95.0
1 29       1 7 8 11 13 23 24 27 28 29 ==108.0
1 30       1 7 8 11 13 23 24 27 28 29 30 ==114.0
1 31       1 7 8 11 13 23 24 27 28 29 30 31 ==118.0
1 32       1 7 8 11 13 23 24 27 28 29 30 31 32 ==122.0
1 33       1 7 8 11 13 23 24 27 28 29 30 31 32 33 ==150.0
1 34       1 7 8 11 13 23 24 27 28 29 30 31 32 33 34 ==172.0
1 35       1 7 8 11 14 46 35 ==87.0
1 36       1 7 8 11 14 46 36 ==97.0
1 37       1 7 8 11 14 46 36 38 37 ==159.0
1 38       1 7 8 11 14 46 36 38 ==129.0
1 39       1 7 8 11 14 46 36 38 39 ==150.0
1 40       1 7 8 11 14 46 36 38 39 40 ==164.0
1 41       1 7 8 11 14 46 36 38 39 40 41 ==168.0
1 42       1 7 8 11 14 46 36 38 39 40 41 42 ==194.0
1 43       1 7 8 11 13 23 24 27 28 29 30 31 43 ==158.0
1 44       1 7 8 11 14 46 36 44 ==116.0
1 45       1 7 8 11 13 23 24 27 45 ==84.0
1 46       1 7 8 11 14 46 ==60.0
1 47       1 7 8 11 13 23 24 27 28 47 ==105.0
1 48       1 7 8 11 13 23 24 27 45 48 ==94.0
1 49       1 7 8 11 13 23 24 27 28 29 30 31 32 37 49 ==169.0
1 50       1 7 8 11 14 46 36 44 50 ==126.0
1 51       1 7 8 11 14 46 35 51 ==97.0
2 7       2 9 7 ==16.0
2 8       2 9 7 8 ==20.0
2 9       2 9 ==9.0
2 10       2 9 10 ==29.0
2 11       2 9 7 8 11 ==28.0
2 12       2 9 7 8 11 13 23 24 27 28 29 30 31 32 33 34 12 ==205.0
2 13       2 9 7 8 11 13 ==56.0
2 14       2 9 7 8 11 14 ==60.0
2 15       2 9 10 15 ==65.0
2 23       2 9 7 8 11 13 23 ==64.0
2 24       2 9 7 8 11 13 23 24 ==68.0
2 25       2 9 7 8 11 14 46 36 38 39 40 41 42 25 ==208.0
2 26       2 9 7 8 11 14 46 36 38 39 40 41 42 25 26 ==216.0
2 27       2 9 7 8 11 13 23 24 27 ==72.0
2 28       2 9 7 8 11 13 23 24 27 28 ==99.0
2 29       2 9 7 8 11 13 23 24 27 28 29 ==112.0
2 30       2 9 7 8 11 13 23 24 27 28 29 30 ==118.0
2 31       2 9 7 8 11 13 23 24 27 28 29 30 31 ==122.0
2 32       2 9 7 8 11 13 23 24 27 28 29 30 31 32 ==126.0
2 33       2 9 7 8 11 13 23 24 27 28 29 30 31 32 33 ==154.0
2 34       2 9 7 8 11 13 23 24 27 28 29 30 31 32 33 34 ==176.0
2 35       2 9 7 8 11 14 46 35 ==91.0
2 36       2 9 7 8 11 14 46 36 ==101.0
2 37       2 9 7 8 11 14 46 36 38 37 ==163.0
2 38       2 9 7 8 11 14 46 36 38 ==133.0
2 39       2 9 7 8 11 14 46 36 38 39 ==154.0
2 40       2 9 7 8 11 14 46 36 38 39 40 ==168.0
2 41       2 9 7 8 11 14 46 36 38 39 40 41 ==172.0
2 42       2 9 7 8 11 14 46 36 38 39 40 41 42 ==198.0
2 43       2 9 7 8 11 13 23 24 27 28 29 30 31 43 ==162.0
2 44       2 9 7 8 11 14 46 36 44 ==120.0
2 45       2 9 7 8 11 13 23 24 27 45 ==88.0
2 46       2 9 7 8 11 14 46 ==64.0
2 47       2 9 7 8 11 13 23 24 27 28 47 ==109.0
2 48       2 9 7 8 11 13 23 24 27 45 48 ==98.0
2 49       2 9 7 8 11 13 23 24 27 28 29 30 31 32 37 49 ==173.0
2 50       2 9 7 8 11 14 46 36 44 50 ==130.0
