start	goal	raw_bag_id	segment_id	input_path	raw_row
0	16	7070	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	7070 25795.70619 30000 0 16 ID17 ID1
0	17	2551	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	2551 20541.7691 24600 0 17 ID18 ID1
0	18	10613	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	10613 34245.17474 39000 0 18 ID19 ID1
0	19	9450	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	9450 31043.87115 34200 0 19 ID20 ID1
0	20	7007	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	7007 25734.13853 30000 0 20 ID21 ID1
0	21	6979	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	6979 25713.43055 29100 0 21 ID22 ID1
0	22	3316	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	3316 21459.16635 25200 0 22 ID23 ID1
0	23	2978	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	2978 21013.74887 25200 0 23 ID24 ID1
0	41	4733	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	4733 23068.2451 27600 0 41 IU16 ID1
0	42	1855	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	1855 19652.33967 24000 0 42 IU17 ID1
0	43	1747	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	1747 19411.47032 24000 0 43 IU18 ID1
0	44	5549	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	5549 23970.05461 28200 0 44 IU19 ID1
0	45	2356	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	2356 20306.33946 23400 0 45 IU20 ID1
0	46	7509	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	7509 26418.05013 31200 0 46 IU21 ID1
0	47	857	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	857 17853.67286 22200 0 47 IU22 ID1
0	48	4807	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	4807 23174.77326 27300 0 48 IU23 ID1
0	53	0	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	0 8264.845453 22200 0 99 DD5 ID1
0	60	4093	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	4093 22336.9117 27000 0 60 DU4 ID1
0	62	4530	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	4530 22814.91193 27300 0 62 DU6 ID1
0	64	3901	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	3901 22113.27703 25800 0 64 DU8 ID1
0	67	4033	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	4033 22246.21445 26700 0 67 DU11 ID1
0	69	10433	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	10433 33796.02085 37800 0 69 DU13 ID1
0	71	4883	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	4883 23255.3881 27000 0 71 DU15 ID1
0	73	1943	0	data/processed/workloads/cie_external_robustness/nanning_1p00x/seed_104729/inputdata.txt	1943 19733.89564 24300 0 73 DU17 ID1
