event,count
released_segments,76108
entered_segments,76108
move_commits,49705084
stopped_ticks,7479093
holds,658409173
entry_stopped_holds,434362203
entry_moving_holds,144339105
local_fifo_conflict_holds,72228772
following_footprint_holds,3841988
junction_through_busy_holds,96904
no_path_holds,0
route_decisions,651511931
tied_route_decisions,982
