task_id,raw_bag_id,source_raw_bag_id,segment_count,complete,raw_entry_seconds,deadline_seconds,final_completion_seconds,raw_entry_to_final_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,on_time
0,0,0,2,true,8264.845453000,22200.000000000,19768.600000000,11503.754547000,412.354547000,408.200000000,true
1,1,1,2,true,8866.845453000,22200.000000000,19766.200000000,10899.354547000,504.154547000,499.600000000,true
2,2,2,2,true,8872.816299000,22200.000000000,19772.600000000,10899.783701000,409.583701000,404.600000000,true
3,3,3,2,true,8876.000872000,22200.000000000,19681.800000000,10805.799128000,412.199128000,406.800000000,true
4,4,4,2,true,9457.482986000,22200.000000000,19780.200000000,10322.717014000,423.917014000,418.200000000,true
5,5,5,2,true,9471.615484000,23100.000000000,20671.800000000,11200.184516000,509.784516000,505.600000000,true
6,6,6,2,true,10059.621620000,22200.000000000,19775.400000000,9715.778380000,412.378380000,406.200000000,true
7,7,7,2,true,10073.282130000,22200.000000000,19782.600000000,9709.317870000,426.317870000,419.800000000,true
8,8,8,2,true,10086.106480000,23400.000000000,20870.600000000,10784.493520000,414.693520000,410.600000000,true
9,9,9,2,true,10086.334140000,23400.000000000,20857.400000000,10771.065860000,295.265860000,290.800000000,true
10,10,10,2,true,10086.972940000,22200.000000000,19696.200000000,9609.227060000,424.227060000,417.400000000,true
11,11,11,2,true,10084.439820000,23400.000000000,20934.800000000,10850.360180000,461.560180000,456.600000000,true
12,12,12,2,true,10644.168600000,24000.000000000,21540.400000000,10896.231400000,378.231400000,374.200000000,true
13,13,13,2,true,10668.178850000,24300.000000000,21922.000000000,11253.821150000,559.821150000,555.800000000,true
14,14,14,2,true,10668.288280000,22200.000000000,19786.800000000,9118.511720000,423.711720000,416.400000000,true
15,15,15,2,true,10670.845400000,24000.000000000,21548.600000000,10877.754600000,392.354600000,387.800000000,true
16,16,16,2,true,10683.059530000,22200.000000000,19791.600000000,9108.540470000,435.540470000,427.800000000,true
17,17,17,2,true,10683.477820000,24000.000000000,21568.800000000,10885.322180000,414.722180000,409.800000000,true
18,18,18,2,true,10683.106470000,24000.000000000,21520.200000000,10837.093530000,464.293530000,459.000000000,true
