raw_bag_id,segment_id,start,goal,scheduled_release_seconds
0,0,3,47,8267
0,1,52,49,19500
1,0,4,47,8867
1,1,52,49,19501
2,0,5,47,8875
2,1,52,49,19502
3,0,3,47,8880
3,1,52,48,19503
4,0,3,47,9462
4,1,52,49,19504
5,0,4,47,9470
5,1,52,49,20400
6,0,5,47,10062
6,1,52,49,19505
7,0,3,47,10073
7,1,52,49,19506
8,0,0,47,10084
8,1,52,50,20700
9,0,4,47,10085
9,1,52,48,20702
10,0,5,47,10087
10,1,52,48,19507
11,0,1,47,10089
11,1,52,50,20703
12,0,0,47,10645
12,1,52,49,21300
13,0,4,47,10665
13,1,52,49,21600
14,0,5,47,10673
14,1,52,49,19508
15,0,3,47,10675
15,1,52,49,21301
16,0,3,47,10681
16,1,52,49,19509
17,0,2,47,10681
17,1,52,50,21302
18,0,0,47,10686
18,1,52,50,21305
19,0,1,47,10686
19,1,52,50,22460
20,0,3,47,10688
20,1,52,48,21900
21,0,2,47,10689
21,1,52,50,21902
22,0,4,47,10812
22,1,52,49,20403
23,0,5,47,11251
23,1,52,49,21904
24,0,3,47,11254
24,1,52,49,22462
25,0,4,47,11267
25,1,52,49,21905
26,0,4,47,11269
26,1,52,48,20707
27,0,5,47,11270
27,1,52,49,19510
28,0,3,47,11273
28,1,52,49,19511
29,0,0,47,11273
29,1,52,50,21907
30,0,5,47,11274
30,1,52,48,21908
31,0,1,47,11276
31,1,52,50,21910
32,0,2,47,11278
32,1,52,50,21912
33,0,0,47,11282
33,1,52,50,22463
34,0,3,47,11282
34,1,52,48,19512
35,0,4,47,11285
35,1,52,48,22467
36,0,1,47,11286
36,1,52,50,20708
37,0,5,47,11288
37,1,52,48,21913
38,0,2,47,11289
38,1,52,50,22469
39,0,3,47,11290
39,1,52,48,22471
40,0,0,47,11292
40,1,52,50,20710
41,0,1,47,11845
41,1,52,49,21306
42,0,4,47,11854
42,1,52,49,21602
43,0,5,47,11865
43,1,52,49,21307
44,0,3,47,11867
44,1,52,49,19513
45,0,1,47,11870
45,1,52,50,22472
46,0,4,47,11875
46,1,52,49,20404
47,0,2,47,11878
47,1,52,50,21914
48,0,4,47,11880
48,1,52,48,22987
49,0,0,47,11882
49,1,52,50,21309
50,0,1,47,11883
50,1,52,50,21310
51,0,5,47,11885
51,1,52,48,21915
52,0,2,47,11886
52,1,52,50,22990
53,0,3,47,11887
53,1,52,48,22991
54,0,0,47,11889
54,1,52,50,22993
55,0,0,47,11906
55,1,52,50,22475
56,0,4,47,12018
56,1,52,48,22998
57,0,5,47,12449
57,1,52,49,19514
58,0,3,47,12459
58,1,52,49,21916
59,0,1,47,12462
59,1,52,50,21917
60,0,4,47,12467
60,1,52,49,19515
61,0,5,47,12469
61,1,52,48,22478
62,0,5,47,12471
62,1,52,49,22479
63,0,2,47,12470
63,1,52,50,22480
64,0,3,47,12474
64,1,52,48,21918
65,0,0,47,12475
65,1,52,50,22481
66,0,4,47,12477
66,1,52,48,23272
67,0,1,47,12478
67,1,52,50,23700
68,0,5,47,12480
68,1,52,48,21919
69,0,3,47,12482
69,1,52,48,22482
70,0,2,47,12484
70,1,52,50,20711
71,0,4,47,12485
71,1,52,48,23273
72,0,0,47,12487
72,1,52,50,20712
73,0,5,47,12487
73,1,52,48,19516
74,0,1,47,12489
74,1,52,50,21920
75,0,3,47,12490
75,1,52,48,20713
76,0,2,47,12491
76,1,52,50,21921
77,0,3,47,12620
77,1,52,49,21922
78,0,2,47,13047
78,1,52,49,21311
79,0,4,47,13049
79,1,52,49,23701
80,0,0,47,13051
80,1,52,50,23702
81,0,5,47,13051
81,1,52,49,23704
82,0,4,47,13057
82,1,52,48,21923
83,0,3,47,13057
83,1,52,49,19517
84,0,4,47,13059
84,1,52,49,21313
85,0,1,47,13060
85,1,52,50,21314
86,0,5,47,13062
86,1,52,49,23705
87,0,3,47,13065
87,1,52,49,21603
88,0,2,47,13065
88,1,52,50,23000
89,0,4,47,13069
89,1,52,49,20405
90,0,0,47,13067
90,1,52,50,23001
91,0,4,47,13071
91,1,52,48,23003
92,0,1,47,13071
92,1,52,50,24595
93,0,2,47,13075
93,1,52,50,24336
94,0,5,47,13077
94,1,52,48,23005
95,0,0,47,13079
95,1,52,50,21925
96,0,3,47,13080
96,1,52,48,23007
97,0,1,47,13081
97,1,52,50,21315
98,0,4,47,13082
98,1,52,48,23706
99,0,2,47,13084
99,1,52,50,23707
100,0,5,47,13085
100,1,52,48,24337
101,0,0,47,13089
101,1,52,50,23709
102,0,3,47,13088
102,1,52,48,21926
103,0,1,47,13093
103,1,52,50,22484
104,0,1,47,13103
104,1,52,50,21928
105,0,2,47,13222
105,1,52,50,24338
106,0,53,47,13377
106,1,52,48,19518
107,0,53,47,13383
107,1,52,48,19519
108,0,53,47,13422
108,1,52,49,19520
109,0,53,47,13427
109,1,52,49,19521
110,0,53,47,13432
110,1,52,49,19522
111,0,53,47,13437
111,1,52,49,19523
112,0,53,47,13442
112,1,52,49,19524
113,0,53,47,13447
113,1,52,49,19525
114,0,53,47,13470
114,1,52,49,19527
115,0,53,47,13481
115,1,52,48,19528
116,0,53,47,13529
116,1,52,49,19530
117,0,53,47,13628
117,1,52,49,19531
118,0,5,47,13641
118,1,52,49,21931
119,0,3,47,13649
119,1,52,49,22486
120,0,4,47,13651
120,1,52,49,25055
121,0,5,47,13654
121,1,52,49,19532
122,0,3,47,13657
122,1,52,49,19534
123,0,0,47,13659
123,1,52,50,24599
124,0,4,47,13659
124,1,52,49,25057
125,0,4,47,13661
125,1,52,48,24604
126,0,5,47,13663
126,1,52,49,24607
127,0,1,47,13662
127,1,52,50,23711
128,0,5,47,13665
128,1,52,48,19536
129,0,3,47,13665
129,1,52,49,19538
130,0,3,47,13667
130,1,52,48,23274
131,0,4,47,13667
131,1,52,49,21935
132,0,4,47,13669
132,1,52,48,20715
133,0,2,47,13670
133,1,52,50,20716
134,0,5,47,13671
134,1,52,48,23276
135,0,0,47,13675
135,1,52,50,21936
136,0,3,47,13674
136,1,52,48,22487
137,0,1,47,13676
137,1,52,50,21937
138,0,4,47,13677
138,1,52,48,21939
139,0,2,47,13678
139,1,52,50,24609
140,0,0,47,13683
140,1,52,50,20717
141,0,5,47,13682
141,1,52,48,24610
142,0,3,47,13685
142,1,52,48,22488
143,0,1,47,13686
143,1,52,50,22489
144,0,2,47,13689
144,1,52,50,22490
145,0,2,47,13692
145,1,52,50,23714
146,0,0,47,13706
146,1,52,50,22491
147,0,4,47,13840
147,1,52,48,21940
148,0,0,47,13846
148,1,52,50,21942
149,0,53,47,14022
149,1,52,49,20406
150,0,53,47,14027
150,1,52,49,20407
151,0,53,47,14068
151,1,52,49,20408
152,0,53,47,14184
152,1,52,49,19540
153,0,5,47,14235
153,1,52,49,21604
154,0,3,47,14238
154,1,52,49,25275
155,0,4,47,14243
155,1,52,49,19542
156,0,5,47,14246
156,1,52,49,19543
157,0,0,47,14255
157,1,52,49,21316
158,0,3,47,14257
158,1,52,49,19544
159,0,1,47,14257
159,1,52,50,21317
160,0,1,47,14259
160,1,52,49,25869
161,0,2,47,14259
161,1,52,50,25661
162,0,4,47,14259
162,1,52,49,25276
163,0,0,47,14264
163,1,52,50,25662
164,0,5,47,14262
164,1,52,49,23717
165,0,5,47,14264
165,1,52,48,23009
166,0,3,47,14265
166,1,52,49,25279
167,0,1,47,14266
167,1,52,50,24341
168,0,3,47,14267
168,1,52,48,25283
169,0,4,47,14267
169,1,52,49,23718
170,0,2,47,14268
170,1,52,50,23719
171,0,4,47,14269
171,1,52,48,26139
172,0,5,47,14271
172,1,52,49,20409
173,0,5,47,14273
173,1,52,48,24342
174,0,3,47,14274
174,1,52,48,21943
175,0,0,47,14278
175,1,52,50,26142
176,0,4,47,14280
176,1,52,48,23011
177,0,1,47,14281
177,1,52,50,22492
178,0,5,47,14282
178,1,52,48,23013
179,0,2,47,14283
179,1,52,50,24344
180,0,3,47,14285
