origin_density_quantile,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,historical_minus_current_seconds_min,historical_minus_current_seconds_p01,historical_minus_current_seconds_p05,historical_minus_current_seconds_median,historical_minus_current_seconds_mean,historical_minus_current_seconds_p95,historical_minus_current_seconds_p99,historical_minus_current_seconds_max,historical_excess_over_current_free_flow_min,historical_excess_over_current_free_flow_p01,historical_excess_over_current_free_flow_p05,historical_excess_over_current_free_flow_median,historical_excess_over_current_free_flow_mean,historical_excess_over_current_free_flow_p95,historical_excess_over_current_free_flow_p99,historical_excess_over_current_free_flow_max,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max,current_source_wait_seconds_min,current_source_wait_seconds_p01,current_source_wait_seconds_p05,current_source_wait_seconds_median,current_source_wait_seconds_mean,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max
"(0.999, 15.0]",4645,60.200000000,60.300000000,61.400000000,111.300000000,150.915931109,272.700000000,321.968000000,416.400000000,46.000000000,46.000000000,46.000000000,73.000000000,121.545102260,235.000000000,276.000000000,351.000000000,59.600000000,59.600000000,60.400000000,72.800000000,130.621872982,231.720000000,238.800000000,253.400000000,-15.600000000,-1.456000000,0.600000000,15.300000000,20.294058127,62.600000000,109.200000000,203.200000000,0.500000000,0.600000000,0.600000000,15.600000000,21.379784715,66.180000000,109.836000000,204.200000000,-14.200000000,-14.200000000,-0.000000000,0.000000000,1.085726588,8.200000000,18.400000000,34.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
"(111.0, 153.0]",4883,157.900000000,157.900000000,157.900000000,199.000000000,191.366516486,251.090000000,305.490000000,387.300000000,146.000000000,146.000000000,146.000000000,199.000000000,197.747491296,250.000000000,275.000000000,277.000000000,157.400000000,157.400000000,157.400000000,198.400000000,182.863485562,206.600000000,207.400000000,211.200000000,-14.500000000,-4.618000000,-0.890000000,1.900000000,8.503030924,53.000000000,105.152000000,187.300000000,0.300000000,0.300000000,0.400000000,2.800000000,9.533913578,53.670000000,105.442000000,188.900000000,-0.000000000,-0.000000000,-0.000000000,0.400000000,1.030882654,4.800000000,10.236000000,15.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.025844768,2.000000000,3.200000000,5.200000000
"(15.0, 20.0]",5157,60.200000000,61.100000000,61.400000000,125.000000000,156.090478961,274.720000000,323.296000000,480.400000000,46.000000000,46.000000000,46.000000000,73.000000000,122.225518712,241.000000000,276.000000000,350.000000000,59.600000000,59.600000000,60.400000000,81.800000000,132.861353500,225.000000000,237.800000000,263.800000000,-28.100000000,-5.600000000,0.180000000,19.200000000,23.229125461,70.620000000,107.820000000,259.200000000,0.400000000,0.600000000,0.600000000,23.100000000,26.528795812,77.500000000,112.364000000,262.800000000,-14.200000000,-13.600000000,-0.000000000,0.600000000,3.299670351,20.200000000,31.200000000,42.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
"(153.0, 203.0]",3826,157.900000000,157.900000000,157.900000000,199.100000000,190.867381077,232.950000000,268.975000000,362.600000000,146.000000000,146.000000000,146.000000000,199.000000000,201.722164140,275.000000000,275.000000000,277.000000000,157.400000000,157.400000000,157.400000000,198.400000000,185.793622582,207.400000000,227.300000000,236.600000000,-18.100000000,-5.950000000,-1.000000000,1.300000000,5.073758495,28.500000000,70.700000000,156.400000000,0.300000000,0.300000000,0.300000000,2.700000000,6.551019341,31.000000000,72.725000000,156.400000000,-0.000000000,-0.000000000,-0.000000000,0.400000000,1.477260847,6.600000000,21.100000000,30.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.315054888,2.000000000,15.900000000,25.200000000
"(20.0, 23.0]",3795,60.200000000,61.052000000,61.400000000,133.100000000,163.517444005,285.260000000,323.392000000,394.200000000,46.000000000,46.000000000,46.000000000,79.000000000,127.001317523,241.000000000,276.000000000,351.000000000,59.600000000,59.600000000,60.400000000,84.000000000,137.042002635,232.000000000,241.624000000,271.800000000,-32.500000000,-4.906000000,0.000000000,23.100000000,26.475441370,76.900000000,115.506000000,185.100000000,0.600000000,0.600000000,0.600000000,26.800000000,29.841976285,82.230000000,119.700000000,180.300000000,-14.200000000,-14.200000000,-0.000000000,1.000000000,3.366534914,17.400000000,28.436000000,43.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
"(23.0, 27.0]",5039,60.200000000,61.100000000,61.400000000,120.200000000,162.001805914,289.610000000,331.824000000,464.900000000,46.000000000,46.000000000,47.000000000,80.000000000,130.656281008,275.000000000,276.000000000,327.000000000,59.600000000,59.600000000,60.400000000,83.200000000,138.367890454,244.000000000,258.572000000,281.400000000,-40.300000000,-11.624000000,-1.610000000,19.000000000,23.633915459,69.600000000,112.262000000,246.300000000,0.600000000,0.600000000,0.600000000,26.000000000,30.244036515,81.610000000,123.362000000,251.900000000,-14.200000000,-0.000000000,-0.000000000,3.200000000,6.610121056,24.400000000,37.924000000,56.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
"(27.0, 31.0]",3303,60.200000000,61.100000000,61.400000000,214.200000000,176.177081441,293.790000000,330.488000000,424.200000000,46.000000000,46.000000000,47.000000000,189.000000000,145.546775658,275.000000000,278.000000000,320.000000000,59.600000000,59.600000000,60.400000000,212.200000000,152.328065395,243.200000000,258.996000000,293.800000000,-46.400000000,-13.198000000,-1.690000000,18.700000000,23.849016046,74.990000000,111.096000000,195.700000000,0.400000000,0.600000000,0.600000000,25.100000000,30.525673630,86.690000000,124.794000000,201.300000000,-14.200000000,-4.972000000,-0.000000000,2.600000000,6.676657584,30.000000000,48.600000000,60.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000605510,2.000000000,2.000000000,3.200000000
"(31.0, 38.0]",4821,60.200000000,61.400000000,61.400000000,217.600000000,186.366002904,296.200000000,332.160000000,392.500000000,46.000000000,46.000000000,47.000000000,196.000000000,161.131300560,275.000000000,278.000000000,327.000000000,59.600000000,59.640000000,60.800000000,211.800000000,162.394316532,237.400000000,251.680000000,273.800000000,-39.300000000,-5.600000000,-0.600000000,17.000000000,23.971686372,78.000000000,117.080000000,197.100000000,0.300000000,0.500000000,0.600000000,21.200000000,28.044202448,83.300000000,119.200000000,216.700000000,-14.200000000,-13.400000000,-0.000000000,1.600000000,4.072516076,18.600000000,31.120000000,53.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.093134205,2.000000000,4.800000000,9.600000000
"(38.0, 52.0]",3813,60.200000000,61.400000000,63.600000000,167.100000000,178.181169683,292.840000000,328.644000000,436.900000000,46.000000000,47.000000000,47.000000000,171.000000000,160.289011277,276.000000000,279.000000000,351.000000000,59.600000000,60.800000000,60.800000000,164.600000000,161.335641227,248.600000000,268.952000000,291.400000000,-31.100000000,-14.400000000,-4.700000000,6.200000000,16.845528455,66.140000000,105.200000000,215.700000000,0.300000000,0.500000000,0.600000000,15.000000000,24.568738526,79.740000000,112.852000000,219.300000000,-14.200000000,-0.000000000,-0.000000000,3.800000000,7.723210071,31.400000000,45.576000000,55.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.110516654,2.000000000,5.400000000,13.200000000
"(52.0, 111.0]",4321,61.400000000,136.700000000,157.900000000,199.000000000,185.984934043,221.400000000,249.580000000,323.400000000,47.000000000,73.000000000,146.000000000,199.000000000,195.288127748,250.000000000,275.000000000,280.000000000,60.800000000,79.960000000,157.400000000,198.400000000,182.885535756,213.000000000,227.160000000,239.200000000,-18.100000000,-10.860000000,-4.800000000,0.700000000,3.099398287,16.100000000,55.540000000,125.000000000,0.300000000,0.300000000,0.400000000,3.000000000,6.496436010,24.700000000,56.280000000,125.000000000,-6.600000000,-0.000000000,-0.000000000,1.000000000,3.397037723,13.000000000,20.800000000,30.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.388798889,4.000000000,14.720000000,25.200000000
