raw_bag_id,segment_id,segment_count,leg_kind,excel_row,start,goal,release_seconds,historical_dh_seconds,historical_hca_seconds,current_dh_seconds,historical_minus_current_seconds,historical_excess_over_current_free_flow,current_excess_over_free_flow,current_source_wait_seconds,free_flow_current_seconds,pure_motion_seconds,edge_count,intermediate_nodes,origin_release_300s_count,same_origin_release_count,previous_same_origin_release_gap
10687,0,1,direct,16440,3,49,34460.000000000,480.400000000,196.000000000,221.200000000,259.200000000,262.800000000,3.600000000,2.000000000,217.600000000,179.600000000,13,12,20,1,19.000000000
15680,0,1,direct,24173,4,49,46172.000000000,464.900000000,196.000000000,218.600000000,246.300000000,251.900000000,5.600000000,2.000000000,213.000000000,178.000000000,12,11,24,1,20.000000000
4773,0,1,direct,8003,3,49,23124.000000000,436.900000000,199.000000000,221.200000000,215.700000000,219.300000000,3.600000000,2.000000000,217.600000000,179.600000000,13,12,39,1,29.000000000
24667,0,1,direct,38324,3,49,67485.000000000,434.600000000,196.000000000,223.800000000,210.800000000,217.000000000,6.200000000,2.000000000,217.600000000,179.600000000,13,12,24,1,16.000000000
16872,0,1,direct,26048,5,48,49192.000000000,440.200000000,275.000000000,231.400000000,208.800000000,209.000000000,0.200000000,2.000000000,231.200000000,211.200000000,7,6,26,1,16.000000000
10458,0,1,direct,16070,5,49,33882.000000000,416.400000000,194.000000000,213.200000000,203.200000000,204.200000000,1.000000000,2.000000000,212.200000000,177.200000000,12,11,14,1,62.000000000
14452,0,1,direct,22292,3,48,43186.000000000,442.200000000,225.000000000,239.200000000,203.000000000,205.600000000,2.600000000,2.000000000,236.600000000,213.600000000,8,7,24,1,10.000000000
26057,0,1,direct,40205,3,49,70487.000000000,418.900000000,192.000000000,218.400000000,200.500000000,201.300000000,0.800000000,2.000000000,217.600000000,179.600000000,13,12,18,1,38.000000000
2717,0,2,ebs_in,4862,5,47,20727.000000000,276.300000000,79.000000000,79.200000000,197.100000000,216.700000000,19.600000000,2.000000000,59.600000000,39.600000000,7,6,32,1,14.000000000
19354,0,2,ebs_in,29940,3,47,55697.000000000,282.600000000,54.000000000,85.600000000,197.000000000,217.600000000,20.600000000,2.000000000,65.000000000,42.000000000,8,7,24,1,17.000000000
11841,0,2,ebs_in,18317,3,47,37101.000000000,266.300000000,54.000000000,70.600000000,195.700000000,201.300000000,5.600000000,2.000000000,65.000000000,42.000000000,8,7,28,1,13.000000000
2348,0,1,direct,4320,5,48,20302.000000000,424.200000000,275.000000000,231.800000000,192.400000000,193.000000000,0.600000000,2.000000000,231.200000000,211.200000000,7,6,30,1,19.000000000
4807,0,1,direct,8058,3,49,23169.000000000,410.700000000,196.000000000,219.200000000,191.500000000,193.100000000,1.600000000,2.000000000,217.600000000,179.600000000,13,12,39,1,24.000000000
24135,0,1,direct,37524,2,49,66551.000000000,401.900000000,243.000000000,211.600000000,190.300000000,176.700000000,-13.600000000,2.000000000,225.200000000,181.200000000,15,14,24,1,11.000000000
15704,0,1,direct,24214,2,49,46203.000000000,402.300000000,194.000000000,212.200000000,190.100000000,177.100000000,-13.000000000,2.000000000,225.200000000,181.200000000,15,14,8,1,4.000000000
17018,0,1,direct,26261,4,49,49709.000000000,401.200000000,241.000000000,213.000000000,188.200000000,188.200000000,0.000000000,2.000000000,213.000000000,178.000000000,12,11,24,1,17.000000000
16243,0,1,direct,25048,5,49,47689.000000000,400.600000000,194.000000000,213.200000000,187.400000000,188.400000000,1.000000000,2.000000000,212.200000000,177.200000000,12,11,10,1,144.000000000
4499,1,2,ebs_out,7615,52,50,25848.000000000,387.300000000,213.000000000,200.000000000,187.300000000,188.900000000,1.600000000,2.000000000,198.400000000,178.400000000,7,6,141,1,10.000000000
13351,0,1,direct,20517,53,49,40104.000000000,393.700000000,189.000000000,208.600000000,185.100000000,180.300000000,-4.800000000,2.000000000,213.400000000,178.400000000,12,11,22,1,15.000000000
23042,0,1,direct,35685,5,48,64195.000000000,415.600000000,275.000000000,232.400000000,183.200000000,184.400000000,1.200000000,2.000000000,231.200000000,211.200000000,7,6,25,1,11.000000000
23267,0,1,direct,36099,4,49,64741.000000000,401.700000000,196.000000000,220.200000000,181.500000000,188.700000000,7.200000000,2.000000000,213.000000000,178.000000000,12,11,25,1,2.000000000
7894,0,1,direct,12178,4,49,27033.000000000,392.700000000,189.000000000,213.000000000,179.700000000,179.700000000,0.000000000,2.000000000,213.000000000,178.000000000,12,11,19,1,30.000000000
5603,0,1,direct,9220,3,48,24021.000000000,423.100000000,327.000000000,243.600000000,179.500000000,186.500000000,7.000000000,2.000000000,236.600000000,213.600000000,8,7,44,1,14.000000000
20459,0,1,direct,31633,3,49,58266.000000000,397.700000000,248.000000000,219.400000000,178.300000000,180.100000000,1.800000000,2.000000000,217.600000000,179.600000000,13,12,12,1,29.000000000
7225,0,1,direct,11338,5,49,26033.000000000,392.500000000,194.000000000,215.200000000,177.300000000,180.300000000,3.000000000,2.000000000,212.200000000,177.200000000,12,11,35,1,16.000000000
1764,0,1,direct,3343,3,49,19433.000000000,395.000000000,196.000000000,217.800000000,177.200000000,177.400000000,0.200000000,2.000000000,217.600000000,179.600000000,13,12,26,1,24.000000000
12058,0,2,ebs_in,18649,3,47,37443.000000000,242.100000000,54.000000000,65.200000000,176.900000000,177.100000000,0.200000000,2.000000000,65.000000000,42.000000000,8,7,25,1,16.000000000
3059,1,2,ebs_out,5369,52,50,24499.000000000,373.400000000,185.000000000,198.400000000,175.000000000,175.000000000,0.000000000,2.000000000,198.400000000,178.400000000,7,6,138,1,7.000000000
27302,0,1,direct,42037,5,49,74192.000000000,389.700000000,189.000000000,215.200000000,174.500000000,177.500000000,3.000000000,2.000000000,212.200000000,177.200000000,12,11,27,1,19.000000000
4786,1,2,ebs_out,8025,52,50,26945.000000000,373.000000000,185.000000000,199.200000000,173.800000000,174.600000000,0.800000000,2.000000000,198.400000000,178.400000000,7,6,139,1,7.000000000
