start,goal,dh_tenth_residue_mod10,count
0,47,0,153
0,47,1,111
0,47,2,370
0,47,3,133
0,47,4,129
0,47,5,108
0,47,6,151
0,47,7,139
0,47,8,113
0,47,9,112
0,49,0,16
0,49,1,34
0,49,2,18
0,49,3,82
0,49,4,17
0,49,5,26
0,49,6,20
0,49,7,57
0,49,8,15
0,49,9,30
0,50,0,36
0,50,1,54
0,50,2,103
0,50,3,41
0,50,4,70
0,50,5,151
0,50,6,70
0,50,7,462
0,50,8,333
0,50,9,46
1,47,0,147
1,47,1,149
1,47,2,114
1,47,3,173
1,47,4,114
1,47,5,107
1,47,6,131
1,47,7,126
1,47,8,118
1,47,9,318
1,49,0,90
1,49,1,34
1,49,2,19
1,49,3,20
1,49,4,38
1,49,5,28
1,49,6,20
1,49,7,36
1,49,8,14
1,49,9,32
1,50,0,45
1,50,1,496
1,50,2,248
1,50,3,65
1,50,4,45
1,50,5,274
1,50,6,72
1,50,7,38
1,50,8,51
1,50,9,31
2,47,0,170
2,47,1,117
2,47,2,128
2,47,3,88
2,47,4,124
2,47,5,108
2,47,6,345
2,47,7,105
2,47,8,122
2,47,9,157
2,49,0,30
2,49,1,39
2,49,2,19
2,49,3,29
2,49,4,15
2,49,5,24
2,49,6,20
2,49,7,83
2,49,8,31
2,49,9,43
2,50,0,49
2,50,1,39
2,50,2,120
2,50,3,25
2,50,4,23
2,50,5,73
2,50,6,26
2,50,7,167
2,50,8,582
2,50,9,298
3,47,0,208
3,47,1,166
3,47,2,209
3,47,3,180
3,47,4,176
3,47,5,126
3,47,6,158
3,47,7,136
3,47,8,734
3,47,9,239
3,48,0,67
3,48,1,52
3,48,2,86
3,48,3,65
3,48,4,252
3,48,5,76
3,48,6,82
3,48,7,66
3,48,8,78
3,48,9,70
3,49,0,166
3,49,1,116
3,49,2,93
3,49,3,124
3,49,4,83
3,49,5,101
3,49,6,69
3,49,7,191
3,49,8,79
3,49,9,639
4,47,0,132
4,47,1,629
4,47,2,151
4,47,3,126
4,47,4,128
4,47,5,463
4,47,6,166
4,47,7,148
4,47,8,153
4,47,9,138
4,48,0,67
4,48,1,174
4,48,2,66
4,48,3,84
4,48,4,72
4,48,5,71
4,48,6,57
4,48,7,192
4,48,8,68
4,48,9,66
4,49,0,92
4,49,1,128
4,49,2,442
4,49,3,88
4,49,4,95
4,49,5,94
4,49,6,358
4,49,7,173
4,49,8,108
4,49,9,158
5,47,0,147
5,47,1,154
5,47,2,585
5,47,3,241
5,47,4,193
5,47,5,150
5,47,6,264
5,47,7,114
5,47,8,242
5,47,9,184
5,48,0,69
5,48,1,62
5,48,2,102
5,48,3,69
5,48,4,105
5,48,5,78
5,48,6,76
5,48,7,67
5,48,8,182
5,48,9,88
5,49,0,128
5,49,1,137
5,49,2,79
5,49,3,438
5,49,4,157
5,49,5,112
5,49,6,92
5,49,7,248
5,49,8,84
5,49,9,239
52,48,0,237
52,48,1,101
52,48,2,167
52,48,3,85
52,48,4,133
52,48,5,763
52,48,6,1202
52,48,7,273
52,48,8,363
52,48,9,166
52,49,0,645
52,49,1,898
52,49,2,430
52,49,3,708
52,49,4,334
52,49,5,535
52,49,6,317
52,49,7,427
52,49,8,307
52,49,9,2395
52,50,0,1575
52,50,1,410
52,50,2,527
52,50,3,296
52,50,4,469
52,50,5,271
52,50,6,358
52,50,7,223
52,50,8,285
52,50,9,197
53,47,0,175
53,47,1,103
53,47,2,113
53,47,3,96
53,47,4,2097
53,47,5,500
53,47,6,179
53,47,7,140
53,47,8,203
53,47,9,171
53,48,0,16
53,48,1,8
53,48,2,11
53,48,3,14
53,48,4,12
53,48,5,11
53,48,6,9
53,48,7,10
53,48,8,13
53,48,9,3
53,49,0,10
53,49,1,15
53,49,2,11
53,49,3,7
53,49,4,5
53,49,5,70
53,49,6,35
53,49,7,38
53,49,8,7
53,49,9,17
53,50,0,4
53,50,1,3
53,50,2,5
53,50,3,9
53,50,4,24
53,50,5,28
53,50,6,57
53,50,7,3
53,50,8,15
53,50,9,7
