start,goal,count,node_path,edge_count,intermediate_nodes,distance_meters,pure_motion_seconds,free_flow_current_seconds,historical_dh_seconds_min,historical_min_minus_free_flow,diagnostic_motion_plus_2_plus_3p1_each_intermediate,historical_min_minus_3p1_stage_signature,physical_model_min_seconds,physical_model_min_path,current_dh_seconds_min,diagnostic_3p1_physical_min_seconds,diagnostic_3p1_physical_min_path
0,47,1519,0;6;12;13;23;24;27;28;47,8,7,96.000000000,38.400000000,61.400000000,62.200000000,0.800000000,62.100000000,0.100000000,61.400000000,0;6;12;13;23;24;27;28;47,61.400000000,62.100000000,0;6;12;13;23;24;27;28;47
0,49,315,0;6;12;13;23;24;27;28;29;30;31;32;37;49,13,12,440.000000000,176.000000000,214.000000000,215.300000000,1.300000000,215.200000000,0.100000000,206.000000000,0;6;8;11;14;46;36;38;37;49,214.000000000,206.800000000,0;6;8;11;14;46;36;38;37;49
0,50,1366,0;6;8;11;14;46;36;44;50,8,7,485.000000000,194.000000000,217.000000000,217.700000000,0.700000000,217.700000000,-0.000000000,217.000000000,0;6;8;11;14;46;36;44;50,217.000000000,217.700000000,0;6;8;11;14;46;36;44;50
1,47,1497,1;7;8;11;13;23;24;27;28;47,9,8,105.000000000,42.000000000,68.000000000,68.900000000,0.900000000,68.800000000,0.100000000,68.000000000,1;7;8;11;13;23;24;27;28;47,68.000000000,68.800000000,1;7;8;11;13;23;24;27;28;47
1,49,331,1;7;8;11;13;23;24;27;28;29;30;31;32;37;49,14,13,449.000000000,179.600000000,220.600000000,222.000000000,1.400000000,221.900000000,0.100000000,206.400000000,1;7;8;11;14;46;36;38;37;49,206.400000000,207.200000000,1;7;8;11;14;46;36;38;37;49
1,50,1365,1;7;8;11;14;46;36;44;50,8,7,486.000000000,194.400000000,217.400000000,218.100000000,0.700000000,218.100000000,-0.000000000,217.400000000,1;7;8;11;14;46;36;44;50,217.400000000,218.100000000,1;7;8;11;14;46;36;44;50
2,47,1464,2;9;7;8;11;13;23;24;27;28;47,10,9,109.000000000,43.600000000,72.600000000,73.500000000,0.900000000,73.500000000,0.000000000,72.600000000,2;9;7;8;11;13;23;24;27;28;47,72.600000000,73.500000000,2;9;7;8;11;13;23;24;27;28;47
2,49,333,2;9;7;8;11;13;23;24;27;28;29;30;31;32;37;49,15,14,453.000000000,181.200000000,225.200000000,226.600000000,1.400000000,226.600000000,-0.000000000,211.000000000,2;9;7;8;11;14;46;36;38;37;49,211.000000000,211.900000000,2;9;7;8;11;14;46;36;38;37;49
2,50,1402,2;9;7;8;11;14;46;36;44;50,9,8,490.000000000,196.000000000,222.000000000,222.700000000,0.700000000,222.800000000,-0.100000000,222.000000000,2;9;7;8;11;14;46;36;44;50,222.000000000,222.800000000,2;9;7;8;11;14;46;36;44;50
3,47,2332,3;16;17;18;22;24;27;28;47,8,7,105.000000000,42.000000000,65.000000000,65.800000000,0.800000000,65.700000000,0.100000000,65.000000000,3;16;17;18;22;24;27;28;47,65.000000000,65.700000000,3;16;17;18;22;24;27;28;47
3,48,894,3;16;17;18;22;24;27;45;48,8,7,534.000000000,213.600000000,236.600000000,237.400000000,0.800000000,237.300000000,0.100000000,236.600000000,3;16;17;18;22;24;27;45;48,236.600000000,237.300000000,3;16;17;18;22;24;27;45;48
3,49,1661,3;16;17;18;22;24;27;28;29;30;31;32;37;49,13,12,449.000000000,179.600000000,217.600000000,218.900000000,1.300000000,218.800000000,0.100000000,217.600000000,3;16;17;18;22;24;27;28;29;30;31;32;37;49,217.600000000,218.800000000,3;16;17;18;22;24;27;28;29;30;31;32;37;49
4,47,2234,4;17;18;22;24;27;28;47,7,6,101.000000000,40.400000000,60.400000000,61.100000000,0.700000000,61.000000000,0.100000000,60.400000000,4;17;18;22;24;27;28;47,60.400000000,61.000000000,4;17;18;22;24;27;28;47
4,48,917,4;17;18;22;24;27;45;48,7,6,530.000000000,212.000000000,232.000000000,232.700000000,0.700000000,232.600000000,0.100000000,232.000000000,4;17;18;22;24;27;45;48,232.000000000,232.600000000,4;17;18;22;24;27;45;48
4,49,1736,4;17;18;22;24;27;28;29;30;31;32;37;49,12,11,445.000000000,178.000000000,213.000000000,214.200000000,1.200000000,214.100000000,0.100000000,213.000000000,4;17;18;22;24;27;28;29;30;31;32;37;49,213.000000000,214.100000000,4;17;18;22;24;27;28;29;30;31;32;37;49
5,47,2274,5;19;18;22;24;27;28;47,7,6,99.000000000,39.600000000,59.600000000,60.200000000,0.600000000,60.200000000,-0.000000000,59.600000000,5;19;18;22;24;27;28;47,59.600000000,60.200000000,5;19;18;22;24;27;28;47
