start,goal,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,historical_minus_current_seconds_min,historical_minus_current_seconds_p01,historical_minus_current_seconds_p05,historical_minus_current_seconds_median,historical_minus_current_seconds_mean,historical_minus_current_seconds_p95,historical_minus_current_seconds_p99,historical_minus_current_seconds_max,historical_excess_over_current_free_flow_min,historical_excess_over_current_free_flow_p01,historical_excess_over_current_free_flow_p05,historical_excess_over_current_free_flow_median,historical_excess_over_current_free_flow_mean,historical_excess_over_current_free_flow_p95,historical_excess_over_current_free_flow_p99,historical_excess_over_current_free_flow_max,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max,current_source_wait_seconds_min,current_source_wait_seconds_p01,current_source_wait_seconds_p05,current_source_wait_seconds_median,current_source_wait_seconds_mean,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,free_flow_current_seconds,edge_count,intermediate_nodes,distance_meters,pure_motion_seconds,node_path,physical_model_min_seconds,physical_model_min_path,diagnostic_3p1_physical_min_seconds,diagnostic_3p1_physical_min_path,historical_min_minus_free_flow,historical_min_minus_motion,diagnostic_motion_plus_2_plus_3p1_each_intermediate,historical_min_minus_3p1_stage_signature,historical_mean_excess_total_seconds
3,48,894,237.400000000,237.400000000,237.400000000,264.000000000,269.121364653,326.685000000,377.254000000,442.200000000,221.000000000,221.000000000,225.000000000,225.000000000,235.512304251,278.000000000,327.000000000,327.000000000,236.600000000,236.600000000,236.600000000,240.200000000,244.591275168,265.550000000,281.028000000,293.800000000,-21.100000000,-16.035000000,-3.735000000,18.700000000,24.530089485,79.670000000,132.683000000,203.000000000,0.800000000,0.800000000,0.800000000,27.400000000,32.521364653,90.085000000,140.654000000,205.600000000,-0.000000000,-0.000000000,-0.000000000,3.600000000,7.991275168,28.950000000,44.428000000,57.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,236.600000000,8,7,534.000000000,213.600000000,3;16;17;18;22;24;27;45;48,236.600000000,3;16;17;18;22;24;27;45;48,237.300000000,3;16;17;18;22;24;27;45;48,0.800000000,23.800000000,237.300000000,0.100000000,21929.900000000
3,49,1661,218.900000000,218.900000000,218.900000000,243.300000000,252.298314269,321.400000000,367.340000000,480.400000000,192.000000000,192.000000000,196.000000000,196.000000000,205.127633955,248.000000000,248.000000000,250.000000000,217.600000000,217.600000000,217.600000000,219.800000000,222.348585190,233.800000000,247.480000000,266.400000000,-16.400000000,-6.580000000,-0.900000000,19.400000000,29.949729079,96.400000000,142.380000000,259.200000000,1.300000000,1.300000000,1.300000000,25.700000000,34.698314269,103.800000000,149.740000000,262.800000000,-0.000000000,-0.000000000,-0.000000000,2.200000000,4.748585190,16.200000000,29.880000000,48.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,217.600000000,13,12,449.000000000,179.600000000,3;16;17;18;22;24;27;28;29;30;31;32;37;49,217.600000000,3;16;17;18;22;24;27;28;29;30;31;32;37;49,218.800000000,3;16;17;18;22;24;27;28;29;30;31;32;37;49,1.300000000,39.300000000,218.800000000,0.100000000,49746.499999998
4,47,2234,61.100000000,61.100000000,61.100000000,83.500000000,86.608504924,128.870000000,176.568000000,242.000000000,47.000000000,47.000000000,47.000000000,80.000000000,65.006714414,80.000000000,80.000000000,80.000000000,60.400000000,60.400000000,60.400000000,62.400000000,66.813786929,85.000000000,102.400000000,121.200000000,-35.000000000,-12.469000000,-1.500000000,16.650000000,19.794717995,56.700000000,109.906000000,166.000000000,0.700000000,0.700000000,0.700000000,23.100000000,26.208504924,68.470000000,116.168000000,181.600000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,6.413786929,24.600000000,42.000000000,60.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,60.400000000,7,6,101.000000000,40.400000000,4;17;18;22;24;27;28;47,60.400000000,4;17;18;22;24;27;28;47,61.000000000,4;17;18;22;24;27;28;47,0.700000000,20.700000000,61.000000000,0.100000000,44221.400000000
4,48,917,232.700000000,232.700000000,232.700000000,257.600000000,261.422573610,310.240000000,342.044000000,381.300000000,218.000000000,218.000000000,218.000000000,276.000000000,255.118865867,276.000000000,320.000000000,320.000000000,232.000000000,232.000000000,232.000000000,234.200000000,238.926063250,259.880000000,270.104000000,287.800000000,-17.600000000,-12.256000000,-0.500000000,19.100000000,22.496510360,62.380000000,105.320000000,149.300000000,0.700000000,0.700000000,0.700000000,25.600000000,29.422573610,78.240000000,110.044000000,149.300000000,0.000000000,0.000000000,0.000000000,2.200000000,6.926063250,27.880000000,38.104000000,55.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,232.000000000,7,6,530.000000000,212.000000000,4;17;18;22;24;27;45;48,232.000000000,4;17;18;22;24;27;45;48,232.600000000,4;17;18;22;24;27;45;48,0.700000000,20.700000000,232.600000000,0.100000000,20629.300000000
4,49,1736,214.200000000,214.200000000,214.200000000,240.200000000,245.280587558,305.075000000,342.200000000,464.900000000,189.000000000,189.000000000,189.000000000,196.000000000,202.014976959,241.000000000,248.000000000,248.000000000,213.000000000,213.000000000,213.000000000,215.000000000,217.328801843,226.850000000,239.730000000,263.800000000,-28.500000000,-5.600000000,0.300000000,23.400000000,27.951785714,85.200000000,124.465000000,246.300000000,1.200000000,1.200000000,1.200000000,27.200000000,32.280587558,92.075000000,129.200000000,251.900000000,0.000000000,0.000000000,0.000000000,2.000000000,4.328801843,13.850000000,26.730000000,50.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,213.000000000,12,11,445.000000000,178.000000000,4;17;18;22;24;27;28;29;30;31;32;37;49,213.000000000,4;17;18;22;24;27;28;29;30;31;32;37;49,214.100000000,4;17;18;22;24;27;28;29;30;31;32;37;49,1.200000000,36.200000000,214.100000000,0.100000000,48524.299999999
5,47,2274,60.200000000,60.200000000,60.200000000,88.200000000,89.992216359,130.835000000,166.375000000,276.300000000,46.000000000,46.000000000,46.000000000,79.000000000,67.851802990,79.000000000,79.000000000,79.000000000,59.600000000,59.600000000,59.600000000,61.600000000,66.225153914,85.000000000,99.762000000,115.600000000,-28.800000000,-12.962000000,-2.400000000,24.950000000,23.767062445,56.770000000,84.700000000,197.100000000,0.600000000,0.600000000,0.600000000,28.600000000,30.392216359,71.235000000,106.775000000,216.700000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,6.625153914,25.400000000,40.162000000,56.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,59.600000000,7,6,99.000000000,39.600000000,5;19;18;22;24;27;28;47,59.600000000,5;19;18;22;24;27;28;47,60.200000000,5;19;18;22;24;27;28;47,0.600000000,20.600000000,60.200000000,-0.000000000,54046.299999999
5,48,898,231.800000000,231.800000000,231.800000000,262.800000000,266.187750557,312.330000000,351.736000000,440.200000000,218.000000000,218.000000000,218.000000000,275.000000000,261.087973274,275.000000000,319.000000000,351.000000000,231.200000000,231.200000000,231.200000000,234.200000000,238.628285078,258.830000000,277.406000000,291.600000000,-29.400000000,-10.809000000,-1.000000000,26.850000000,27.559465479,67.660000000,101.460000000,208.800000000,0.600000000,0.600000000,0.600000000,31.600000000,34.987750557,81.130000000,120.536000000,209.000000000,-0.000000000,-0.000000000,-0.000000000,3.000000000,7.428285078,27.630000000,46.206000000,60.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,231.200000000,7,6,528.000000000,211.200000000,5;19;18;22;24;27;45;48,231.200000000,5;19;18;22;24;27;45;48,231.800000000,5;19;18;22;24;27;45;48,0.600000000,20.600000000,231.800000000,-0.000000000,24748.400000000
5,49,1714,213.300000000,213.300000000,213.300000000,244.700000000,249.101983664,307.970000000,340.048000000,416.400000000,189.000000000,189.000000000,189.000000000,194.000000000,198.194282380,240.000000000,247.000000000,247.000000000,212.200000000,212.200000000,212.200000000,215.200000000,215.162310385,220.000000000,226.174000000,250.800000000,-12.300000000,-1.900000000,0.230000000,29.200000000,33.939673279,92.370000000,127.227000000,203.200000000,1.100000000,1.100000000,1.100000000,32.500000000,36.901983664,95.770000000,127.848000000,204.200000000,-0.000000000,-0.000000000,-0.000000000,3.000000000,2.962310385,7.800000000,13.974000000,38.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,212.200000000,12,11,443.000000000,177.200000000,5;19;18;22;24;27;28;29;30;31;32;37;49,212.200000000,5;19;18;22;24;27;28;29;30;31;32;37;49,213.300000000,5;19;18;22;24;27;28;29;30;31;32;37;49,1.100000000,36.100000000,213.300000000,-0.000000000,58172.600000002
52,48,3490,206.500000000,206.500000000,206.500000000,208.700000000,212.605386819,234.600000000,262.600000000,362.600000000,199.000000000,199.000000000,199.000000000,199.000000000,226.875071633,275.000000000,277.000000000,277.000000000,206.200000000,206.200000000,206.200000000,206.400000000,208.840229226,222.200000000,232.400000000,236.600000000,-18.100000000,-11.800000000,-0.700000000,0.400000000,3.765157593,24.610000000,56.400000000,156.400000000,0.300000000,0.300000000,0.300000000,2.500000000,6.405386819,28.400000000,56.400000000,156.400000000,-0.000000000,-0.000000000,-0.000000000,0.200000000,2.640229226,16.000000000,26.200000000,30.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.898796562,8.110000000,21.000000000,25.200000000,206.200000000,4,3,488.000000000,195.200000000,52;40;41;45;48,206.200000000,52;40;41;45;48,206.500000000,52;40;41;45;48,0.300000000,11.300000000,206.500000000,0.000000000,13140.400000003
52,49,6996,157.900000000,157.900000000,157.900000000,160.400000000,162.741209262,173.400000000,191.930000000,233.000000000,146.000000000,146.000000000,146.000000000,171.000000000,177.187249857,222.000000000,222.000000000,222.000000000,157.400000000,157.400000000,157.400000000,158.400000000,160.057975986,167.600000000,170.800000000,174.800000000,-15.900000000,-7.910000000,-3.700000000,1.300000000,2.683233276,11.500000000,34.530000000,75.000000000,0.500000000,0.500000000,0.500000000,3.000000000,5.341209262,16.000000000,34.530000000,75.600000000,-0.000000000,-0.000000000,-0.000000000,1.000000000,2.657975986,10.200000000,13.400000000,17.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.069782733,2.000000000,4.200000000,6.600000000,157.400000000,6,5,351.000000000,140.400000000,52;29;30;31;32;37;49,157.400000000,52;29;30;31;32;37;49,157.900000000,52;29;30;31;32;37;49,0.500000000,17.500000000,157.900000000,-0.000000000,18771.899999999
52,50,4611,199.000000000,199.000000000,199.000000000,201.800000000,210.531012795,258.550000000,309.930000000,387.300000000,185.000000000,185.000000000,185.000000000,210.000000000,205.542181739,235.000000000,235.000000000,235.000000000,198.400000000,198.400000000,198.400000000,199.000000000,200.153415745,206.600000000,210.180000000,215.200000000,-14.100000000,-4.990000000,-1.800000000,2.400000000,10.377597051,59.300000000,111.500000000,187.300000000,0.600000000,0.600000000,0.600000000,3.400000000,12.131012795,60.150000000,111.530000000,188.900000000,-0.000000000,-0.000000000,0.000000000,0.600000000,1.753415745,8.200000000,11.780000000,16.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.056170028,2.000000000,4.200000000,6.200000000,198.400000000,7,6,446.000000000,178.400000000,52;29;30;31;32;33;44;50,198.400000000,52;29;30;31;32;33;44;50,199.000000000,52;29;30;31;32;33;44;50,0.600000000,20.600000000,199.000000000,0.000000000,47851.099999998
53,47,3777,61.400000000,61.400000000,61.400000000,61.500000000,71.582525814,113.720000000,151.620000000,249.200000000,47.000000000,47.000000000,47.000000000,47.000000000,52.204130262,73.000000000,73.000000000,73.000000000,60.800000000,60.800000000,60.800000000,60.800000000,62.986444268,76.400000000,91.544000000,114.000000000,-39.300000000,-6.896000000,0.600000000,0.600000000,8.596081546,44.500000000,75.856000000,135.200000000,0.600000000,0.600000000,0.600000000,0.700000000,10.782525814,52.920000000,90.820000000,188.400000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,2.186444268,15.600000000,30.744000000,53.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,60.800000000,7,6,102.000000000,40.800000000,53;20;21;23;24;27;28;47,60.800000000,53;20;21;23;24;27;28;47,61.400000000,53;20;21;23;24;27;28;47,0.600000000,20.600000000,61.400000000,-0.000000000,32467.399999997
53,48,107,233.000000000,235.460000000,242.960000000,274.500000000,279.429906542,319.180000000,359.800000000,362.300000000,219.000000000,219.000000000,219.000000000,269.000000000,250.327102804,269.000000000,340.440000000,345.000000000,232.400000000,232.400000000,233.000000000,239.000000000,242.164485981,263.740000000,276.752000000,278.000000000,-17.400000000,-2.122000000,1.820000000,33.100000000,37.265420561,75.240000000,107.278000000,119.100000000,0.600000000,3.060000000,10.560000000,42.100000000,47.029906542,86.780000000,127.400000000,129.900000000,-0.000000000,-0.000000000,0.600000000,6.600000000,9.764485981,31.340000000,44.352000000,45.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,232.400000000,7,6,531.000000000,212.400000000,53;20;21;23;24;27;45;48,232.400000000,53;20;21;23;24;27;45;48,233.000000000,53;20;21;23;24;27;45;48,0.600000000,20.600000000,233.000000000,0.000000000,3987.400000000
53,49,215,214.500000000,214.500000000,214.500000000,238.100000000,246.447906977,308.560000000,335.890000000,393.700000000,189.000000000,189.000000000,189.000000000,190.000000000,199.488372093,241.000000000,241.000000000,241.000000000,206.800000000,206.800000000,206.800000000,207.400000000,209.681860465,217.860000000,219.688000000,221.800000000,1.100000000,1.100000000,1.100000000,27.600000000,36.766046512,100.820000000,128.230000000,185.100000000,1.100000000,1.100000000,1.100000000,24.700000000,33.047906977,95.160000000,122.490000000,180.300000000,-6.600000000,-6.600000000,-6.600000000,-6.000000000,-3.718139535,4.460000000,6.288000000,8.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,213.400000000,12,11,446.000000000,178.400000000,53;20;21;23;24;27;28;29;30;31;32;37;49,206.800000000,53;20;10;15;14;46;36;38;37;49,207.600000000,53;20;10;15;14;46;36;38;37;49,1.100000000,36.100000000,214.500000000,0.000000000,7904.700000000
53,50,155,218.200000000,218.200000000,218.300000000,218.600000000,235.381935484,307.320000000,343.752000000,359.000000000,202.000000000,202.000000000,202.000000000,202.000000000,220.767741935,280.000000000,280.000000000,280.000000000,217.800000000,217.800000000,217.800000000,217.800000000,218.073548387,219.120000000,220.660000000,221.400000000,-1.300000000,-0.346000000,0.470000000,0.800000000,17.308387097,88.480000000,125.952000000,141.200000000,0.400000000,0.400000000,0.500000000,0.800000000,17.581935484,89.520000000,125.952000000,141.200000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.273548387,1.320000000,2.860000000,3.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,217.800000000,8,7,487.000000000,194.800000000,53;20;10;15;14;46;36;44;50,217.800000000,53;20;10;15;14;46;36;44;50,218.500000000,53;20;10;15;14;46;36;44;50,0.400000000,23.400000000,218.500000000,-0.300000000,2682.800000000
