start,goal,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,historical_minus_current_seconds_min,historical_minus_current_seconds_p01,historical_minus_current_seconds_p05,historical_minus_current_seconds_median,historical_minus_current_seconds_mean,historical_minus_current_seconds_p95,historical_minus_current_seconds_p99,historical_minus_current_seconds_max,historical_excess_over_current_free_flow_min,historical_excess_over_current_free_flow_p01,historical_excess_over_current_free_flow_p05,historical_excess_over_current_free_flow_median,historical_excess_over_current_free_flow_mean,historical_excess_over_current_free_flow_p95,historical_excess_over_current_free_flow_p99,historical_excess_over_current_free_flow_max,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max,current_source_wait_seconds_min,current_source_wait_seconds_p01,current_source_wait_seconds_p05,current_source_wait_seconds_median,current_source_wait_seconds_mean,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max,free_flow_current_seconds,edge_count,intermediate_nodes,distance_meters,pure_motion_seconds,node_path,physical_model_min_seconds,physical_model_min_path,diagnostic_3p1_physical_min_seconds,diagnostic_3p1_physical_min_path,historical_min_minus_free_flow,historical_min_minus_motion,diagnostic_motion_plus_2_plus_3p1_each_intermediate,historical_min_minus_3p1_stage_signature,historical_mean_excess_total_seconds
0,47,1519,62.200000000,62.200000000,62.200000000,92.300000000,94.973469388,138.740000000,159.710000000,200.800000000,46.000000000,46.000000000,46.000000000,50.000000000,51.984200132,72.000000000,72.000000000,72.000000000,61.400000000,61.400000000,61.400000000,64.800000000,69.548255431,91.020000000,103.856000000,118.000000000,-40.300000000,-13.182000000,0.400000000,23.700000000,25.425213957,60.120000000,74.982000000,93.400000000,0.800000000,0.800000000,0.800000000,30.900000000,33.573469388,77.340000000,98.310000000,139.400000000,-0.000000000,-0.000000000,-0.000000000,3.400000000,8.148255431,29.620000000,42.456000000,56.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,61.400000000,8,7,96.000000000,38.400000000,0;6;12;13;23;24;27;28;47,61.400000000,0;6;12;13;23;24;27;28;47,62.100000000,0;6;12;13;23;24;27;28;47,0.800000000,23.800000000,62.100000000,0.100000000,38620.900000000
0,49,315,215.300000000,215.300000000,215.300000000,246.000000000,252.705714286,309.630000000,339.448000000,356.500000000,188.000000000,188.000000000,188.000000000,189.000000000,200.342857143,244.000000000,244.000000000,244.000000000,214.000000000,214.000000000,214.000000000,215.400000000,218.171428571,231.300000000,244.144000000,255.200000000,-28.100000000,-4.560000000,1.300000000,29.700000000,34.534285714,89.960000000,121.232000000,130.700000000,1.300000000,1.300000000,1.300000000,32.000000000,38.705714286,95.630000000,125.448000000,142.500000000,0.000000000,0.000000000,0.000000000,1.400000000,4.171428571,17.300000000,30.144000000,41.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,214.000000000,13,12,440.000000000,176.000000000,0;6;12;13;23;24;27;28;29;30;31;32;37;49,206.000000000,0;6;8;11;14;46;36;38;37;49,206.800000000,0;6;8;11;14;46;36;38;37;49,1.300000000,39.300000000,215.200000000,0.100000000,10878.300000000
0,50,1366,217.700000000,217.700000000,217.700000000,238.300000000,241.665446559,286.600000000,336.340000000,378.500000000,201.000000000,201.000000000,201.000000000,232.000000000,225.945095168,232.000000000,279.000000000,279.000000000,217.000000000,217.000000000,217.000000000,217.000000000,217.564421669,219.150000000,220.270000000,222.800000000,-2.900000000,-0.100000000,0.700000000,21.150000000,24.101024890,69.200000000,118.690000000,161.500000000,0.700000000,0.700000000,0.700000000,21.300000000,24.665446559,69.600000000,119.340000000,161.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.564421669,2.150000000,3.270000000,5.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,217.000000000,8,7,485.000000000,194.000000000,0;6;8;11;14;46;36;44;50,217.000000000,0;6;8;11;14;46;36;44;50,217.700000000,0;6;8;11;14;46;36;44;50,0.700000000,23.700000000,217.700000000,-0.000000000,32922.000000000
1,47,1497,68.900000000,68.900000000,68.900000000,109.100000000,112.407548430,161.800000000,190.304000000,234.600000000,50.000000000,50.000000000,50.000000000,50.000000000,53.011356045,73.000000000,73.000000000,73.000000000,68.000000000,68.000000000,68.000000000,72.400000000,76.598129593,98.800000000,110.648000000,123.200000000,-31.100000000,-8.636000000,0.900000000,32.300000000,35.809418838,79.640000000,100.868000000,132.200000000,0.900000000,0.900000000,0.900000000,41.100000000,44.407548430,93.800000000,122.304000000,166.600000000,0.000000000,0.000000000,0.000000000,4.400000000,8.598129593,30.800000000,42.648000000,55.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,68.000000000,9,8,105.000000000,42.000000000,1;7;8;11;13;23;24;27;28;47,68.000000000,1;7;8;11;13;23;24;27;28;47,68.800000000,1;7;8;11;13;23;24;27;28;47,0.900000000,26.900000000,68.800000000,0.100000000,53606.700000000
1,49,331,222.000000000,222.000000000,222.000000000,264.400000000,268.004833837,320.950000000,345.370000000,359.300000000,189.000000000,189.000000000,189.000000000,193.000000000,200.425981873,244.000000000,244.000000000,245.000000000,206.400000000,206.400000000,206.400000000,206.800000000,210.256797583,223.400000000,228.280000000,229.800000000,-0.200000000,0.720000000,3.600000000,54.400000000,57.748036254,114.050000000,138.550000000,151.900000000,1.400000000,1.400000000,1.400000000,43.800000000,47.404833837,100.350000000,124.770000000,138.700000000,-14.200000000,-14.200000000,-14.200000000,-13.800000000,-10.343202417,2.800000000,7.680000000,9.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,220.600000000,14,13,449.000000000,179.600000000,1;7;8;11;13;23;24;27;28;29;30;31;32;37;49,206.400000000,1;7;8;11;14;46;36;38;37;49,207.200000000,1;7;8;11;14;46;36;38;37;49,1.400000000,42.400000000,221.900000000,0.100000000,19114.600000000
1,50,1365,218.100000000,218.100000000,218.100000000,240.500000000,243.422857143,283.200000000,325.268000000,387.200000000,202.000000000,202.000000000,202.000000000,232.000000000,224.967765568,257.000000000,279.000000000,279.000000000,217.400000000,217.400000000,217.400000000,217.400000000,217.950183150,219.800000000,221.272000000,223.400000000,-3.700000000,-0.700000000,0.700000000,23.100000000,25.472673993,64.000000000,107.508000000,169.200000000,0.700000000,0.700000000,0.700000000,23.100000000,26.022857143,65.800000000,107.868000000,169.800000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.550183150,2.400000000,3.872000000,6.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,217.400000000,8,7,486.000000000,194.400000000,1;7;8;11;14;46;36;44;50,217.400000000,1;7;8;11;14;46;36;44;50,218.100000000,1;7;8;11;14;46;36;44;50,0.700000000,23.700000000,218.100000000,-0.000000000,34770.199999999
2,47,1464,73.500000000,73.600000000,73.600000000,106.850000000,109.635040984,152.485000000,185.103000000,219.300000000,53.000000000,53.000000000,53.000000000,53.000000000,55.821721311,78.000000000,78.000000000,78.000000000,72.600000000,72.600000000,72.600000000,76.600000000,80.764890710,102.200000000,114.674000000,127.000000000,-40.700000000,-10.300000000,0.300000000,28.200000000,28.870150273,63.955000000,83.207000000,118.000000000,0.900000000,1.000000000,1.000000000,34.250000000,37.035040984,79.885000000,112.503000000,146.700000000,-0.000000000,-0.000000000,-0.000000000,4.000000000,8.164890710,29.600000000,42.074000000,54.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,72.600000000,10,9,109.000000000,43.600000000,2;9;7;8;11;13;23;24;27;28;47,72.600000000,2;9;7;8;11;13;23;24;27;28;47,73.500000000,2;9;7;8;11;13;23;24;27;28;47,0.900000000,29.900000000,73.500000000,0.000000000,42265.900000000
2,49,333,226.600000000,226.700000000,228.020000000,263.500000000,270.045045045,327.020000000,360.380000000,402.300000000,191.000000000,191.000000000,192.000000000,196.000000000,199.873873874,247.000000000,247.000000000,247.000000000,211.000000000,211.000000000,211.000000000,211.800000000,214.312312312,228.080000000,230.936000000,235.400000000,-0.200000000,4.892000000,15.700000000,49.700000000,55.732732733,114.340000000,148.724000000,190.300000000,1.400000000,1.500000000,2.820000000,38.300000000,44.845045045,101.820000000,135.180000000,177.100000000,-14.200000000,-14.200000000,-14.200000000,-13.400000000,-10.887687688,2.880000000,5.736000000,10.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,225.200000000,15,14,453.000000000,181.200000000,2;9;7;8;11;13;23;24;27;28;29;30;31;32;37;49,211.000000000,2;9;7;8;11;14;46;36;38;37;49,211.900000000,2;9;7;8;11;14;46;36;38;37;49,1.400000000,45.400000000,226.600000000,-0.000000000,18559.000000000
2,50,1402,222.700000000,222.700000000,222.800000000,226.700000000,237.944650499,283.700000000,322.883000000,363.100000000,204.000000000,204.000000000,204.000000000,235.000000000,223.368045649,260.000000000,284.000000000,285.000000000,222.000000000,222.000000000,222.000000000,222.000000000,222.420970043,223.800000000,224.800000000,227.200000000,-3.100000000,-1.099000000,-0.100000000,4.200000000,15.523680456,61.280000000,100.881000000,139.100000000,0.700000000,0.700000000,0.800000000,4.700000000,15.944650499,61.700000000,100.883000000,141.100000000,0.000000000,0.000000000,0.000000000,0.000000000,0.420970043,1.800000000,2.800000000,5.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,222.000000000,9,8,490.000000000,196.000000000,2;9;7;8;11;14;46;36;44;50,222.000000000,2;9;7;8;11;14;46;36;44;50,222.800000000,2;9;7;8;11;14;46;36;44;50,0.700000000,26.700000000,222.800000000,-0.100000000,21764.200000000
3,47,2332,65.800000000,65.800000000,65.800000000,86.300000000,91.492324185,139.745000000,180.400000000,282.600000000,49.000000000,49.000000000,54.000000000,54.000000000,55.944682676,82.000000000,82.000000000,83.000000000,65.000000000,65.000000000,65.000000000,67.600000000,72.111663808,92.090000000,106.214000000,123.400000000,-46.400000000,-13.300000000,-3.000000000,12.700000000,19.380660377,61.025000000,102.387000000,197.000000000,0.800000000,0.800000000,0.800000000,21.300000000,26.492324185,74.745000000,115.400000000,217.600000000,0.000000000,0.000000000,0.000000000,2.600000000,7.111663808,27.090000000,41.214000000,58.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,65.000000000,8,7,105.000000000,42.000000000,3;16;17;18;22;24;27;28;47,65.000000000,3;16;17;18;22;24;27;28;47,65.700000000,3;16;17;18;22;24;27;28;47,0.800000000,23.800000000,65.700000000,0.100000000,45195.700000001
