segment_count,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,delta_min,delta_p01,delta_p05,delta_median,delta_mean,delta_p95,delta_p99,delta_max
1,13409,213.300000000,213.400000000,217.600000000,245.700000000,250.934670744,308.900000000,346.792000000,480.400000000,188.000000000,189.000000000,189.000000000,207.000000000,219.170258781,276.000000000,279.000000000,351.000000000,206.400000000,206.400000000,212.200000000,218.600000000,222.868879111,246.200000000,262.800000000,293.800000000,-29.400000000,-5.500000000,0.000000000,23.200000000,28.065791632,86.160000000,124.200000000,259.200000000
2,15097,218.100000000,219.300000000,222.000000000,274.600000000,278.610737233,350.300000000,398.908000000,517.200000000,192.000000000,192.000000000,196.000000000,254.000000000,254.776048222,324.000000000,354.000000000,359.000000000,217.000000000,217.400000000,218.200000000,260.200000000,252.765357356,291.800000000,306.800000000,326.000000000,-41.900000000,-10.504000000,-1.400000000,20.600000000,25.845379877,76.700000000,123.104000000,224.200000000
