start,goal,count,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max
1,49,260,-14.200000000,-14.200000000,-14.200000000,-14.200000000,-13.710769231,-12.400000000,-10.754000000,-6.200000000
2,49,281,-14.200000000,-14.200000000,-14.200000000,-13.600000000,-13.344483986,-11.800000000,-10.560000000,-9.000000000
53,49,143,-6.600000000,-6.600000000,-6.600000000,-6.600000000,-6.254545455,-4.800000000,-3.884000000,-3.600000000
