raw_bag_id,segment_id,segment_count,leg_kind,excel_row,start,goal,release_seconds,historical_dh_seconds,historical_hca_seconds,current_dh_seconds,historical_minus_current_seconds,historical_excess_over_current_free_flow,current_excess_over_free_flow,current_source_wait_seconds,free_flow_current_seconds,pure_motion_seconds,edge_count,intermediate_nodes,origin_release_300s_count,same_origin_release_count,previous_same_origin_release_gap
10472,0,2,ebs_in,16096,0,47,34042.000000000,62.200000000,46.000000000,61.400000000,0.800000000,0.800000000,0.000000000,2.000000000,61.400000000,38.400000000,8,7,19,1,379.000000000
8070,0,1,direct,12393,0,49,27429.000000000,215.300000000,188.000000000,215.200000000,0.100000000,1.300000000,1.200000000,2.000000000,214.000000000,176.000000000,13,12,35,1,9.000000000
10196,0,1,direct,15608,0,50,32950.000000000,217.700000000,227.000000000,217.000000000,0.700000000,0.700000000,0.000000000,2.000000000,217.000000000,194.000000000,8,7,19,1,7.000000000
23598,0,2,ebs_in,36660,1,47,65489.000000000,68.900000000,50.000000000,68.000000000,0.900000000,0.900000000,0.000000000,2.000000000,68.000000000,42.000000000,9,8,3,1,34.000000000
2265,0,1,direct,4196,1,49,20229.000000000,222.000000000,193.000000000,220.600000000,1.400000000,1.400000000,-0.000000000,2.000000000,220.600000000,179.600000000,14,13,37,1,17.000000000
1529,0,1,direct,2935,1,50,19096.000000000,218.100000000,202.000000000,217.400000000,0.700000000,0.700000000,0.000000000,2.000000000,217.400000000,194.400000000,8,7,19,1,3.000000000
6039,0,2,ebs_in,9803,2,47,24561.000000000,73.500000000,53.000000000,73.400000000,0.100000000,0.900000000,0.800000000,2.000000000,72.600000000,43.600000000,10,9,40,1,2.000000000
9746,0,1,direct,14910,2,49,31701.000000000,226.600000000,196.000000000,211.000000000,15.600000000,1.400000000,-14.200000000,2.000000000,225.200000000,181.200000000,15,14,22,1,2.000000000
10493,0,1,direct,16134,2,50,34061.000000000,222.700000000,204.000000000,222.800000000,-0.100000000,0.700000000,0.800000000,2.000000000,222.000000000,196.000000000,9,8,21,1,2.000000000
0,0,2,ebs_in,2,3,47,8267.000000000,65.800000000,54.000000000,65.000000000,0.800000000,0.800000000,0.000000000,2.000000000,65.000000000,42.000000000,8,7,1,1,
23719,0,1,direct,36875,3,48,65864.000000000,237.400000000,225.000000000,242.400000000,-5.000000000,0.800000000,5.800000000,2.000000000,236.600000000,213.600000000,8,7,33,1,2.000000000
23907,0,1,direct,37162,3,49,66098.000000000,218.900000000,196.000000000,218.400000000,0.500000000,1.300000000,0.800000000,2.000000000,217.600000000,179.600000000,13,12,26,1,7.000000000
494,0,2,ebs_in,990,4,47,16641.000000000,61.100000000,47.000000000,60.400000000,0.700000000,0.700000000,0.000000000,2.000000000,60.400000000,40.400000000,7,6,20,1,346.000000000
10780,0,1,direct,16593,4,48,34699.000000000,232.700000000,276.000000000,235.400000000,-2.700000000,0.700000000,3.400000000,2.000000000,232.000000000,212.000000000,7,6,23,1,16.000000000
10248,0,1,direct,15700,4,49,33172.000000000,214.200000000,189.000000000,213.000000000,1.200000000,1.200000000,0.000000000,2.000000000,213.000000000,178.000000000,12,11,11,1,32.000000000
10198,0,2,ebs_in,15611,5,47,32959.000000000,60.200000000,46.000000000,59.600000000,0.600000000,0.600000000,-0.000000000,2.000000000,59.600000000,39.600000000,7,6,19,1,23.000000000
2120,0,1,direct,3968,5,48,19959.000000000,231.800000000,218.000000000,243.800000000,-12.000000000,0.600000000,12.600000000,2.000000000,231.200000000,211.200000000,7,6,29,1,2.000000000
783,0,1,direct,1564,5,49,17505.000000000,213.300000000,194.000000000,212.200000000,1.100000000,1.100000000,0.000000000,2.000000000,212.200000000,177.200000000,12,11,7,1,41.000000000
51,1,2,ebs_out,105,52,48,21915.000000000,206.500000000,199.000000000,206.200000000,0.300000000,0.300000000,0.000000000,2.000000000,206.200000000,195.200000000,4,3,173,1,1.000000000
20028,1,2,ebs_out,30943,52,49,67803.000000000,157.900000000,200.000000000,159.200000000,-1.300000000,0.500000000,1.800000000,2.000000000,157.400000000,140.400000000,6,5,154,1,2.000000000
11,1,2,ebs_out,25,52,50,20703.000000000,199.000000000,213.000000000,198.800000000,0.200000000,0.600000000,0.400000000,2.000000000,198.400000000,178.400000000,7,6,109,1,1.000000000
23624,0,2,ebs_in,36709,53,47,65588.000000000,61.400000000,47.000000000,60.800000000,0.600000000,0.600000000,0.000000000,2.000000000,60.800000000,40.800000000,7,6,17,1,6.000000000
24410,0,1,direct,37952,53,48,67071.000000000,233.000000000,219.000000000,250.400000000,-17.400000000,0.600000000,18.000000000,2.000000000,232.400000000,212.400000000,7,6,24,1,5.000000000
834,0,1,direct,1664,53,49,17791.000000000,214.500000000,190.000000000,213.400000000,1.100000000,1.100000000,0.000000000,2.000000000,213.400000000,178.400000000,12,11,25,1,2.000000000
18834,0,1,direct,29058,53,50,54397.000000000,218.200000000,202.000000000,217.800000000,0.400000000,0.400000000,0.000000000,2.000000000,217.800000000,194.800000000,8,7,17,1,2.000000000
