release_300s_bin,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,historical_minus_current_seconds_min,historical_minus_current_seconds_p01,historical_minus_current_seconds_p05,historical_minus_current_seconds_median,historical_minus_current_seconds_mean,historical_minus_current_seconds_p95,historical_minus_current_seconds_p99,historical_minus_current_seconds_max,historical_excess_over_current_free_flow_min,historical_excess_over_current_free_flow_p01,historical_excess_over_current_free_flow_p05,historical_excess_over_current_free_flow_median,historical_excess_over_current_free_flow_mean,historical_excess_over_current_free_flow_p95,historical_excess_over_current_free_flow_p99,historical_excess_over_current_free_flow_max,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max,current_source_wait_seconds_min,current_source_wait_seconds_p01,current_source_wait_seconds_p05,current_source_wait_seconds_median,current_source_wait_seconds_mean,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max
27,1,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,65.800000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,54.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,65.000000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
29,3,60.200000000,60.218000000,60.290000000,61.100000000,62.366666667,65.330000000,65.706000000,65.800000000,46.000000000,46.020000000,46.100000000,47.000000000,49.000000000,53.300000000,53.860000000,54.000000000,59.600000000,59.616000000,59.680000000,60.400000000,61.666666667,64.540000000,64.908000000,65.000000000,0.600000000,0.602000000,0.610000000,0.700000000,0.700000000,0.790000000,0.798000000,0.800000000,0.600000000,0.602000000,0.610000000,0.700000000,0.700000000,0.790000000,0.798000000,0.800000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
31,2,61.100000000,61.147000000,61.335000000,63.450000000,63.450000000,65.565000000,65.753000000,65.800000000,47.000000000,47.070000000,47.350000000,50.500000000,50.500000000,53.650000000,53.930000000,54.000000000,60.400000000,60.446000000,60.630000000,62.700000000,62.700000000,64.770000000,64.954000000,65.000000000,0.700000000,0.701000000,0.705000000,0.750000000,0.750000000,0.795000000,0.799000000,0.800000000,0.700000000,0.701000000,0.705000000,0.750000000,0.750000000,0.795000000,0.799000000,0.800000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
33,6,60.300000000,60.395000000,60.775000000,72.300000000,75.516666667,94.950000000,96.510000000,96.900000000,46.000000000,46.000000000,46.000000000,46.500000000,48.333333333,53.250000000,53.850000000,54.000000000,59.600000000,59.680000000,60.000000000,61.600000000,62.833333333,67.250000000,67.850000000,68.000000000,0.700000000,0.705000000,0.725000000,9.200000000,12.683333333,28.500000000,28.820000000,28.900000000,0.700000000,0.705000000,0.725000000,10.000000000,13.183333333,28.850000000,28.890000000,28.900000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.500000000,1.550000000,1.590000000,1.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
35,10,60.200000000,60.281000000,60.605000000,69.700000000,80.640000000,120.850000000,133.450000000,136.600000000,46.000000000,46.000000000,46.000000000,50.000000000,52.100000000,65.550000000,73.110000000,75.000000000,59.600000000,59.672000000,59.960000000,65.000000000,65.360000000,73.040000000,73.328000000,73.400000000,0.600000000,0.609000000,0.645000000,0.900000000,15.280000000,52.070000000,67.694000000,71.600000000,0.600000000,0.609000000,0.645000000,0.900000000,15.540000000,52.430000000,67.766000000,71.600000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.260000000,1.350000000,1.710000000,1.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
36,1,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
37,18,60.300000000,60.436000000,60.980000000,82.700000000,85.705555556,113.640000000,122.888000000,125.200000000,46.000000000,46.000000000,46.000000000,53.000000000,55.166666667,77.450000000,79.490000000,80.000000000,59.600000000,59.600000000,59.600000000,61.700000000,64.022222222,72.600000000,72.600000000,72.600000000,0.700000000,0.700000000,0.700000000,21.300000000,21.683333333,46.510000000,56.982000000,59.600000000,0.700000000,0.700000000,0.700000000,21.300000000,22.094444444,47.620000000,57.684000000,60.200000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.411111111,1.230000000,1.366000000,1.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
39,15,60.300000000,60.412000000,60.860000000,81.600000000,85.860000000,119.040000000,132.928000000,136.400000000,46.000000000,46.000000000,46.000000000,51.000000000,52.800000000,74.100000000,78.020000000,79.000000000,59.600000000,59.628000000,59.740000000,61.400000000,64.666666667,72.960000000,73.632000000,73.800000000,0.700000000,0.700000000,0.700000000,21.200000000,21.193333333,55.570000000,67.274000000,70.200000000,0.700000000,0.700000000,0.700000000,21.200000000,21.606666667,55.930000000,68.306000000,71.400000000,-0.000000000,-0.000000000,-0.000000000,0.000000000,0.413333333,1.920000000,3.264000000,3.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
40,1,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,61.100000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,47.000000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,60.400000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,0.700000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
41,20,60.200000000,60.219000000,60.295000000,84.750000000,84.395000000,104.120000000,115.064000000,117.800000000,46.000000000,46.000000000,46.000000000,53.000000000,56.200000000,79.050000000,79.810000000,80.000000000,59.600000000,59.638000000,59.790000000,63.800000000,64.770000000,72.600000000,72.600000000,72.600000000,-0.400000000,-0.191000000,0.645000000,23.000000000,19.625000000,41.590000000,50.558000000,52.800000000,0.600000000,0.619000000,0.695000000,24.750000000,20.205000000,42.540000000,50.748000000,52.800000000,-0.000000000,-0.000000000,-0.000000000,0.200000000,0.580000000,1.720000000,3.544000000,4.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
