leg_kind,count,historical_dh_seconds_min,historical_dh_seconds_p01,historical_dh_seconds_p05,historical_dh_seconds_median,historical_dh_seconds_mean,historical_dh_seconds_p95,historical_dh_seconds_p99,historical_dh_seconds_max,historical_hca_seconds_min,historical_hca_seconds_p01,historical_hca_seconds_p05,historical_hca_seconds_median,historical_hca_seconds_mean,historical_hca_seconds_p95,historical_hca_seconds_p99,historical_hca_seconds_max,current_dh_seconds_min,current_dh_seconds_p01,current_dh_seconds_p05,current_dh_seconds_median,current_dh_seconds_mean,current_dh_seconds_p95,current_dh_seconds_p99,current_dh_seconds_max,historical_minus_current_seconds_min,historical_minus_current_seconds_p01,historical_minus_current_seconds_p05,historical_minus_current_seconds_median,historical_minus_current_seconds_mean,historical_minus_current_seconds_p95,historical_minus_current_seconds_p99,historical_minus_current_seconds_max,historical_excess_over_current_free_flow_min,historical_excess_over_current_free_flow_p01,historical_excess_over_current_free_flow_p05,historical_excess_over_current_free_flow_median,historical_excess_over_current_free_flow_mean,historical_excess_over_current_free_flow_p95,historical_excess_over_current_free_flow_p99,historical_excess_over_current_free_flow_max,current_excess_over_free_flow_min,current_excess_over_free_flow_p01,current_excess_over_free_flow_p05,current_excess_over_free_flow_median,current_excess_over_free_flow_mean,current_excess_over_free_flow_p95,current_excess_over_free_flow_p99,current_excess_over_free_flow_max,current_source_wait_seconds_min,current_source_wait_seconds_p01,current_source_wait_seconds_p05,current_source_wait_seconds_median,current_source_wait_seconds_mean,current_source_wait_seconds_p95,current_source_wait_seconds_p99,current_source_wait_seconds_max
direct,13409,213.300000000,213.400000000,217.600000000,245.700000000,250.934670744,308.900000000,346.792000000,480.400000000,188.000000000,189.000000000,189.000000000,207.000000000,219.170258781,276.000000000,279.000000000,351.000000000,206.400000000,206.400000000,212.200000000,218.600000000,222.868879111,246.200000000,262.800000000,293.800000000,-29.400000000,-5.500000000,0.000000000,23.200000000,28.065791632,86.160000000,124.200000000,259.200000000,0.400000000,0.700000000,0.800000000,27.100000000,30.848281005,88.360000000,126.068000000,262.800000000,-14.200000000,-14.200000000,-5.200000000,0.800000000,2.782489373,15.800000000,31.800000000,60.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
ebs_in,15097,60.200000000,60.200000000,61.400000000,85.500000000,89.746141618,140.600000000,173.900000000,282.600000000,46.000000000,46.000000000,46.000000000,53.000000000,57.442074584,80.000000000,82.000000000,83.000000000,59.600000000,59.600000000,60.200000000,65.200000000,69.184155793,91.000000000,105.800000000,127.000000000,-46.400000000,-11.600000000,-0.500000000,16.300000000,20.561985825,61.020000000,89.104000000,197.100000000,0.600000000,0.600000000,0.600000000,22.400000000,26.618725575,75.000000000,110.100000000,217.600000000,-0.000000000,-0.000000000,-0.000000000,1.400000000,6.056739750,25.800000000,40.200000000,60.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000
ebs_out,15097,157.900000000,157.900000000,157.900000000,199.000000000,188.864595615,230.400000000,283.000000000,387.300000000,146.000000000,146.000000000,146.000000000,199.000000000,197.333973637,250.000000000,275.000000000,277.000000000,157.400000000,157.400000000,157.400000000,198.400000000,183.581201563,209.400000000,223.400000000,236.600000000,-18.100000000,-7.700000000,-2.900000000,1.600000000,5.283394052,28.600000000,81.824000000,187.300000000,0.300000000,0.300000000,0.400000000,2.900000000,7.660992250,30.720000000,82.408000000,188.900000000,-0.000000000,-0.000000000,-0.000000000,0.600000000,2.377598198,10.400000000,17.200000000,30.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.257269656,2.800000000,8.808000000,25.200000000
