start	goal	raw_bag_id	segment_id	input_path	raw_row
0	47	8	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	8 10086.10648 23400 0 50 1 B2
0	49	1833	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1833 19630.31661 24000 0 49 1 B1
0	50	1281	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1281 18623.71523 23400 0 50 2 B2
1	47	11	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	11 10084.43982 23400 1 50 2 B2
1	49	1834	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1834 19634.98332 24000 1 49 1 B1
1	50	1522	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1522 19087.52753 23400 1 50 2 A1
2	47	17	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	17 10683.47782 24000 2 50 3 B2
2	49	1838	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1838 19636.64993 24000 2 49 1 B1
2	50	1283	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1283 18625.49286 23400 2 50 1 B1
3	47	0	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	0 8264.845453 22200 3 49 1 C2
3	48	981	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	981 17990.66758 22200 3 48 1 C1
3	49	762	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	762 17418.81635 22200 3 49 2 C2
4	47	1	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1 8866.845453 22200 4 49 1 C2
4	48	862	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	862 17860.11739 22200 4 48 1 D1
4	49	782	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	782 17495.81638 22200 4 49 2 C2
5	47	2	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	2 8872.816299 22200 5 49 2 C2
5	48	857	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	857 17853.67286 22200 5 48 1 D1
5	49	760	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	760 17416.84538 22200 5 49 2 C2
52	48	3	1	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	3 8876.000872 22200 3 48 1 C1
52	49	0	1	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	0 8264.845453 22200 3 49 1 C2
52	50	8	1	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	8 10086.10648 23400 0 50 1 B2
53	47	106	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	106 13378.99227 22200 53 48 1 T
53	48	1499	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	1499 19069.13731 22200 53 48 1 T
53	49	834	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	834 17794.98533 22200 53 49 1 T
53	50	2250	0	data/processed/workloads/cie_external_robustness/map2_1p00x/seed_104729/inputdata.txt	2250 20194.9853 24600 53 50 1 T
