map,start,goal,old_status,repaired_status,old_end_tick,repaired_completion_tick,zero_intermediate_nodes,zero_goal,entire_audit_record_identical,old_first_invalid_tick,old_first_invalid_node,sample_raw_bag_id,sample_segment_id
map2,0,47,COMPLETE,COMPLETE,307,307,,True,True,,,8,0
map2,0,49,COMPLETE,COMPLETE,1070,1070,,True,True,,,1833,0
map2,0,50,COMPLETE,COMPLETE,1085,1085,,True,True,,,1281,0
map2,1,47,COMPLETE,COMPLETE,340,340,,True,True,,,11,0
map2,1,49,COMPLETE,COMPLETE,1103,1103,,True,True,,,1834,0
map2,1,50,COMPLETE,COMPLETE,1087,1087,,True,True,,,1522,0
map2,2,47,COMPLETE,COMPLETE,363,363,,True,True,,,17,0
map2,2,49,COMPLETE,COMPLETE,1126,1126,,True,True,,,1838,0
map2,2,50,COMPLETE,COMPLETE,1110,1110,,True,True,,,1283,0
map2,3,47,COMPLETE,COMPLETE,325,325,,True,True,,,0,0
map2,3,48,COMPLETE,COMPLETE,1183,1183,,True,True,,,981,0
map2,3,49,COMPLETE,COMPLETE,1088,1088,,True,True,,,762,0
map2,4,47,COMPLETE,COMPLETE,302,302,,True,True,,,1,0
map2,4,48,COMPLETE,COMPLETE,1160,1160,,True,True,,,862,0
map2,4,49,COMPLETE,COMPLETE,1065,1065,,True,True,,,782,0
map2,5,47,COMPLETE,COMPLETE,298,298,,True,True,,,2,0
map2,5,48,COMPLETE,COMPLETE,1156,1156,,True,True,,,857,0
map2,5,49,COMPLETE,COMPLETE,1061,1061,,True,True,,,760,0
map2,52,48,COMPLETE,COMPLETE,1031,1031,,True,True,,,3,1
map2,52,49,COMPLETE,COMPLETE,787,787,,True,True,,,0,1
map2,52,50,COMPLETE,COMPLETE,992,992,,True,True,,,8,1
map2,53,47,COMPLETE,COMPLETE,304,304,,True,True,,,106,0
map2,53,48,COMPLETE,COMPLETE,1162,1162,,True,True,,,1499,0
map2,53,49,COMPLETE,COMPLETE,1067,1067,,True,True,,,834,0
map2,53,50,COMPLETE,COMPLETE,1089,1089,,True,True,,,2250,0
nanning,0,16,COMPLETE,COMPLETE,312,312,,False,True,,,7070,0
nanning,0,17,COMPLETE,COMPLETE,382,382,,False,True,,,2551,0
nanning,0,18,COMPLETE,COMPLETE,413,413,,False,True,,,10613,0
nanning,0,19,COMPLETE,COMPLETE,517,517,,False,True,,,9450,0
nanning,0,20,FAILED,COMPLETE,691,755,56,False,False,690,56,7007,0
nanning,0,21,FAILED,COMPLETE,641,783,55,False,False,640,55,6979,0
nanning,0,22,FAILED,COMPLETE,641,809,55,False,False,640,55,3316,0
nanning,0,23,FAILED,COMPLETE,641,906,55,False,False,640,55,2978,0
nanning,0,41,COMPLETE,COMPLETE,314,314,,False,True,,,4733,0
nanning,0,42,COMPLETE,COMPLETE,384,384,,False,True,,,1855,0
nanning,0,43,COMPLETE,COMPLETE,411,411,,False,True,,,1747,0
nanning,0,44,COMPLETE,COMPLETE,498,498,,False,True,,,5549,0
nanning,0,45,FAILED,COMPLETE,641,729,55,False,False,640,55,2356,0
nanning,0,46,FAILED,COMPLETE,641,809,55,False,False,640,55,7509,0
nanning,0,47,FAILED,COMPLETE,641,839,55,False,False,640,55,857,0
nanning,0,48,FAILED,COMPLETE,641,934,55,False,False,640,55,4807,0
nanning,0,53,COMPLETE,COMPLETE,718,718,,True,True,,,0,0
nanning,0,60,FAILED,COMPLETE,886,1976,129;91,False,False,885,129,4093,0
nanning,0,62,FAILED,COMPLETE,886,1015,129,False,False,885,129,4530,0
nanning,0,64,FAILED,COMPLETE,886,1041,129,False,False,885,129,3901,0
nanning,0,67,FAILED,COMPLETE,886,1141,129,False,False,885,129,4033,0
nanning,0,69,FAILED,COMPLETE,886,1167,129,False,False,885,129,10433,0
nanning,0,71,FAILED,COMPLETE,886,1243,129,False,False,885,129,4883,0
nanning,0,73,FAILED,COMPLETE,886,1266,129,False,False,885,129,1943,0
nanning,0,77,FAILED,COMPLETE,886,1460,129,False,False,885,129,3400,0
nanning,0,79,FAILED,COMPLETE,886,1552,129,False,False,885,129,2277,0
nanning,0,81,FAILED,COMPLETE,886,1573,129,False,False,885,129,4398,0
nanning,0,83,FAILED,COMPLETE,886,1652,129,False,False,885,129,3498,0
nanning,0,85,FAILED,COMPLETE,886,1684,129,False,False,885,129,9834,0
nanning,0,87,FAILED,COMPLETE,886,1727,129,False,False,885,129,8116,0
nanning,0,99,FAILED,COMPLETE,886,971,129,False,False,885,129,953,0
nanning,0,101,FAILED,COMPLETE,886,1060,129,False,False,885,129,2286,0
