event,count
released_segments,87199
entered_segments,86425
move_commits,66042752
stopped_ticks,75330227
holds,3784826615
entry_stopped_holds,2916765799
entry_moving_holds,520715865
local_fifo_conflict_holds,272014724
following_footprint_holds,63057615
junction_through_busy_holds,1224388
no_path_holds,0
route_decisions,3710609776
tied_route_decisions,7382
