event,count
released_segments,76105
entered_segments,76105
move_commits,49705294
stopped_ticks,7498041
holds,661512136
entry_stopped_holds,436423843
entry_moving_holds,145021892
local_fifo_conflict_holds,72568360
following_footprint_holds,3861136
junction_through_busy_holds,97215
no_path_holds,0
route_decisions,654595870
tied_route_decisions,1058
