event,count
released_segments,43602
entered_segments,43602
move_commits,28401170
stopped_ticks,3655055
holds,17308115
entry_stopped_holds,9038115
entry_moving_holds,3041050
local_fifo_conflict_holds,1573895
following_footprint_holds,1572748
junction_through_busy_holds,39833
no_path_holds,0
route_decisions,13988444
tied_route_decisions,606
