task_id,raw_bag_id,source_raw_bag_id,segment_count,complete,raw_entry_seconds,deadline_seconds,final_completion_seconds,raw_entry_to_final_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,on_time
0,0,0,2,true,8264.845453000,22200.000000000,19657.400000000,11392.554547000,222.554547000,218.400000000,true
1,1,1,2,true,8866.845453000,22200.000000000,19659.200000000,10792.354547000,219.754547000,215.200000000,true
2,2,2,2,true,8872.816299000,22200.000000000,19661.000000000,10788.183701000,220.783701000,215.800000000,true
3,3,3,2,true,8876.000872000,22200.000000000,19706.200000000,10830.199128000,271.399128000,267.200000000,true
4,4,4,2,true,9457.482986000,22200.000000000,19662.800000000,10205.317014000,227.917014000,222.600000000,true
5,5,5,2,true,9471.615484000,23100.000000000,20557.400000000,11085.784516000,217.984516000,213.800000000,true
6,6,6,2,true,10059.621620000,22200.000000000,19664.600000000,9604.978380000,224.378380000,218.600000000,true
7,7,7,2,true,10073.282130000,22200.000000000,19666.400000000,9593.117870000,231.517870000,225.400000000,true
8,8,8,2,true,10086.106480000,23400.000000000,20898.400000000,10812.293520000,260.693520000,256.600000000,true
9,9,9,2,true,10086.334140000,23400.000000000,20906.200000000,10819.865860000,270.065860000,266.000000000,true
10,10,10,2,true,10086.972940000,22200.000000000,19708.000000000,9621.027060000,267.627060000,263.200000000,true
11,11,11,2,true,10084.439820000,23400.000000000,20900.200000000,10815.760180000,268.360180000,263.800000000,true
12,12,12,2,true,10644.168600000,24000.000000000,21457.400000000,10813.231400000,218.831400000,214.800000000,true
13,13,13,2,true,10668.178850000,24300.000000000,21757.400000000,11089.221150000,219.021150000,215.000000000,true
14,14,14,2,true,10668.288280000,22200.000000000,19668.200000000,8999.911720000,227.911720000,221.400000000,true
15,15,15,2,true,10670.845400000,24000.000000000,21459.200000000,10788.354600000,224.354600000,219.800000000,true
16,16,16,2,true,10683.059530000,22200.000000000,19670.000000000,8986.940470000,235.140470000,228.200000000,true
17,17,17,2,true,10683.477820000,24000.000000000,21502.000000000,10818.522180000,274.722180000,269.800000000,true
18,18,18,2,true,10683.106470000,24000.000000000,21503.800000000,10820.693530000,265.293530000,260.000000000,true
19,19,19,2,true,10691.811150000,24900.000000000,22398.400000000,11706.588850000,266.588850000,262.400000000,true
20,20,20,2,true,10693.103270000,24600.000000000,22106.200000000,11413.096730000,271.296730000,267.200000000,true
21,21,21,2,true,10693.439770000,24600.000000000,22098.400000000,11404.960230000,271.160230000,267.000000000,true
22,22,22,2,true,10810.777650000,23100.000000000,20559.200000000,9748.422350000,219.622350000,215.200000000,true
23,23,23,2,true,11253.845410000,24600.000000000,22059.200000000,10805.354590000,218.954590000,214.400000000,true
24,24,24,2,true,11258.482960000,24900.000000000,22359.200000000,11100.717040000,224.317040000,219.800000000,true
25,25,25,2,true,11270.816360000,24600.000000000,22061.000000000,10790.183640000,221.583640000,216.600000000,true
26,26,26,2,true,11272.334340000,23400.000000000,20908.000000000,9635.665660000,270.665660000,266.200000000,true
27,27,27,2,true,11272.512030000,22200.000000000,19671.800000000,8399.287970000,232.487970000,225.200000000,true
28,28,28,2,true,11271.149590000,22200.000000000,19673.600000000,8402.450410000,242.850410000,235.200000000,true
29,29,29,2,true,11276.439820000,24600.000000000,22103.800000000,10827.360180000,265.960180000,260.600000000,true
30,30,30,2,true,11275.667460000,24600.000000000,22108.000000000,10832.332540000,269.132540000,264.600000000,true
