event,count
released_segments,43603
entered_segments,43603
move_commits,28380824
stopped_ticks,1980221
holds,2283861
entry_stopped_holds,188348
entry_moving_holds,77936
local_fifo_conflict_holds,37356
following_footprint_holds,432961
junction_through_busy_holds,85020
no_path_holds,0
route_decisions,639691
tied_route_decisions,566
