execution_id,raw_task_id,leg,start,goal,scheduled_release_seconds,release_epoch,planned_epoch,planned_finish_epoch,completion_epoch,terminal_state,active_route_member,unplanned_member,source_pending_member
7,7,direct,0,1,0.25,1.0,1.0,21.0,21.0,COMPLETED,false,false,false
23,23,direct,0,1,1.75,2.0,2.0,22.0,22.0,COMPLETED,false,false,false
123,123,direct,2,3,2.25,2.0,2.0,4.0,4.0,COMPLETED,false,false,false
