ID EntryTime(s) STD(s) star end Unloader Loader
0 8267.845453 22200 3 49 1 C2 
1 8867.845453 22200 4 49 1 C2 
2 8875.816299 22200 5 49 2 C2 
3 8880.000872 22200 3 48 1 C1 
4 9462.482986 22200 3 49 1 C2 
5 9470.615484 23100 4 49 1 C2 
6 10062.62162 22200 5 49 2 C2 
7 10073.28213 22200 3 49 1 C2 
8 10084.10648 23400 0 50 1 B2 
9 10085.33414 23400 4 48 2 C1 
10 10087.97294 22200 5 48 1 C1 
11 10089.43982 23400 1 50 2 B2 
12 10645.1686 24000 0 49 1 B1 
13 10665.17885 24300 4 49 1 C2 
14 10673.28828 22200 5 49 1 C2 
15 10675.8454 24000 3 49 2 C2 
16 10681.05953 22200 3 49 1 D1 
17 10681.47782 24000 2 50 3 B2 
18 10684.10647 24000 0 50 4 B2 
19 10686.81115 24900 1 50 3 B2 
20 10688.10327 24600 3 48 4 C1 
21 10689.43977 24600 2 50 1 B2 
22 10812.77765 23100 4 49 1 C2 
23 11251.84541 24600 5 49 1 C2 
24 11254.48296 24900 3 49 2 C2 
25 11267.81636 24600 4 49 2 C2 
26 11269.33434 23400 4 48 2 C1 
27 11270.51203 22200 5 49 1 C2 
28 11273.14959 22200 3 49 2 C2 
29 11273.43982 24600 0 50 5 B2 
30 11274.66746 24600 5 48 3 C1 
31 11276.14448 24600 1 50 1 B2 
32 11278.77315 24600 2 50 2 B2 
33 11281.43983 24900 0 50 4 B2 
34 11282.63961 22200 3 48 1 C1 
35 11285.33412 24900 4 48 1 C1 
36 11286.58781 23400 1 50 1 B2 
37 11288.00084 24600 5 48 4 C1 
38 11289.25449 24900 2 50 3 B2 
39 11290.77424 24900 3 48 5 C1 
40 11292.14444 23400 0 50 2 B2 
41 11845.2066 24000 1 49 1 B1 
42 11854.61553 24300 4 49 1 C2 
43 11865.14962 24000 5 49 2 C2 
44 11867.9489 22200 3 49 1 C2 
45 11870.81115 24900 1 50 3 B2 
46 11875.94881 23100 4 49 1 C2 
47 11878.58781 24600 2 50 1 B2 
48 11880.10319 25200 4 48 2 C1 
49 11881.27115 24000 0 50 4 B2 
50 11883.9211 24000 1 50 3 B2 
51 11885.33418 24600 5 48 4 C1 
52 11886.60449 25200 2 50 5 B2 
53 11887.97296 25200 3 48 3 C1 
54 11889.47782 25200 0 50 1 B2 
55 11906.2545 24900 0 50 3 A1 
56 12018.0724 25200 4 48 4 C1 
57 12449.14965 22200 5 49 1 C2 
58 12459.95495 24600 3 49 1 C2 
59 12462.77315 24600 1 50 1 B2 
60 12467.94879 22200 4 49 2 C2 
61 12469.33411 24900 5 48 5 C1 
62 12470.62164 24900 5 49 2 C2 
63 12470.81116 24900 2 50 4 B2 
64 12474.63977 24600 3 48 3 C1 
65 12475.93777 24900 0 50 3 B2 
66 12477.43655 25800 4 48 1 C1 
67 12478.58782 26400 1 50 4 B2 
68 12480.10318 24600 5 48 4 C1 
69 12482.66742 24900 3 48 1 C1 
70 12484.10648 23400 2 50 2 B2 
71 12485.3062 25800 4 48 5 C1 
72 12486.60448 23400 0 50 1 B2 
73 12487.97299 22200 5 48 1 C1 
74 12489.43982 24600 1 50 5 B2 
75 12490.77417 23400 3 48 2 C1 
76 12491.92141 24600 2 50 2 B2 
77 12620.00081 24600 3 49 2 C2 
78 13047.64994 24000 2 49 1 B1 
79 13049.28215 26400 4 49 1 C2 
80 13050.16178 26400 0 50 2 B2 
81 13051.84528 26400 5 49 2 C2 
82 13057.05944 24600 4 48 4 D1 
83 13057.28828 22200 3 49 1 C2 
84 13059.8454 24000 4 49 2 C2 
85 13060.10649 24000 1 50 3 B2 
86 13062.51217 26400 5 49 1 C2 
87 13065.17869 24300 3 49 1 C2 
88 13065.43983 25200 2 50 1 B2 
89 13067.84538 23100 4 49 1 C2 
90 13067.93782 25200 0 50 5 B2 
91 13069.4367 25200 4 48 3 C1 
92 13071.49516 27000 1 50 3 B2 
93 13075.92116 26700 2 50 5 B2 
94 13077.44086 25200 5 48 2 C1 
95 13078.60448 24600 0 50 1 B2 
96 13080.00075 25200 3 48 4 C1 
97 13081.47782 24000 1 50 4 B2 
98 13082.76976 26400 4 48 2 C1 
99 13084.10644 26400 2 50 4 B2 
100 13085.43651 26700 5 48 3 C1 
101 13086.77314 26400 0 50 3 B2 
102 13088.10757 24600 3 48 4 C1 
103 13092.14448 24900 1 50 3 B2 
104 13103.4345 24600 1 50 1 A1 
105 13222.07221 26700 2 50 1 B2 
106 13377.99227 22200 53 48 1 T 
107 13383.08134 22200 53 48 1 T 
108 13422.30902 22200 53 49 2 T 
109 13427.39919 22200 53 49 2 T 
110 13432.28805 22200 53 49 1 T 
111 13437.40844 22200 53 49 1 T 
112 13442.70899 22200 53 49 1 T 
113 13447.79917 22200 53 49 1 T 
114 13470.8578 22200 53 49 2 T 
115 13481.52445 22200 53 48 1 T 
116 13529.56247 22200 53 49 1 T 
117 13628.33719 22200 53 49 1 T 
118 13641.17885 24600 5 49 1 C2 
119 13649.14966 24900 3 49 2 C2 
120 13651.81616 27300 4 49 2 C2 
121 13654.48299 22200 5 49 1 C2 
122 13657.14959 22200 3 49 1 C2 
123 13659.92115 27000 0 50 3 B2 
124 13659.95491 27300 4 49 1 C2 
125 13661.3341 27000 4 48 4 C1 
126 13662.48291 27000 5 49 2 C2 
127 13662.81116 26400 1 50 4 B2 
128 13663.97291 22200 5 48 1 C1 
129 13665.17873 22200 3 49 2 C2 
130 13666.66751 25800 3 48 1 C1 
131 13667.8455 24600 4 49 2 C2 
132 13669.33407 23400 4 48 2 C1 
133 13670.6045 23400 2 50 1 B2 
134 13671.97288 25800 5 48 5 C1 
135 13673.43982 24600 0 50 1 B2 
136 13674.7743 24900 3 48 1 C1 
137 13676.14449 24600 1 50 5 B2 
138 13677.44083 24600 4 48 3 C1 
139 13678.59716 27000 2 50 2 B2 
140 13681.25482 23400 0 50 2 B2 
141 13682.77417 27000 5 48 5 C1 
142 13685.33416 24900 3 48 5 C1 
143 13686.77316 24900 1 50 3 B2 
144 13689.47781 24900 2 50 4 B2 
145 13692.77095 26400 2 50 4 A1 
146 13706.2545 24900 0 50 3 A1 
147 13840.78001 24600 4 48 4 C1 
148 13846.11616 24600 0 50 2 B2 
149 14022.08807 23100 53 49 1 T 
150 14027.20845 23100 53 49 1 T 
151 14068.02247 23100 53 49 1 T 
152 14184.65194 22200 53 49 1 T 
153 14235.8454 24300 5 49 1 C2 
154 14238.48303 27600 3 49 1 C2 
155 14243.94872 22200 4 49 1 C2 
156 14246.48303 22200 5 49 1 C2 
157 14255.6666 24000 0 49 1 B1 
158 14257.17872 22200 3 49 2 C2 
159 14257.25449 24000 1 50 3 B2 
160 14258.50193 28200 1 49 2 B1 
161 14259.92116 27900 2 50 1 B2 
162 14259.9489 27600 4 49 2 C2 
163 14262.60449 27900 0 50 5 B2 
164 14262.61544 26400 5 49 1 C2 
165 14263.97293 25200 5 48 3 C1 
166 14265.28217 27600 3 49 1 C2 
167 14266.14278 26700 1 50 5 B2 
168 14266.76983 27600 3 48 1 C1 
169 14267.94879 26400 4 49 1 C2 
170 14268.44148 26400 2 50 2 B2 
171 14269.33408 28500 4 48 4 C1 
172 14270.48292 23100 5 49 1 C2 
173 14271.97292 26700 5 48 3 C1 
174 14274.70806 24600 3 48 4 C1 
175 14278.60449 28500 0 50 2 B2 
176 14280.00097 25200 4 48 2 C1 
177 14281.25448 24900 1 50 3 B2 
178 14282.66752 25200 5 48 4 C1 
179 14283.93781 26700 2 50 1 B2 
180 14285.43641 22200 3 48 1 C1 
181 14286.58777 24000 0 50 4 B2 
182 14289.47782 24600 1 50 1 B2 
183 14292.14448 28500 2 50 3 B2 
184 14318.61549 26400 3 49 2 C2 
185 14329.28824 24000 4 49 2 C2 
186 14329.43982 25200 0 50 1 B2 
187 14331.93781 27600 1 50 4 B2 
188 14337.25449 27000 2 50 3 B2 
189 14340.10648 25200 0 50 5 B2 
190 14345.2711 26400 1 50 3 B2 
191 14414.78355 26400 2 50 4 B2 
192 14427.47038 26400 4 48 2 C1 
193 14577.75708 23400 53 50 1 T 
194 14582.85901 23400 53 50 1 T 
195 14588.19227 23400 53 48 2 T 
196 14593.28134 23400 53 48 2 T 
197 14598.15708 23400 53 50 2 T 
198 14603.25901 23400 53 50 2 T 
