event,count
released_segments,76108
entered_segments,75832
move_commits,59451674
stopped_ticks,56692106
holds,2597777688
entry_stopped_holds,1996644217
entry_moving_holds,359578469
local_fifo_conflict_holds,184862896
following_footprint_holds,45595504
junction_through_busy_holds,985832
no_path_holds,0
route_decisions,2542104549
tied_route_decisions,6925
