ID EntryTime(s) STD(s) star end Unloader Loader
0 8264.845453 22200 0 99 DD5 ID1
1 8866.845453 22200 24 99 DD5 ID25
2 8872.816299 22200 26 116 DD22 IU1
3 8876.000872 22200 95 47 IU22 DD1
4 9457.482986 22200 0 99 DD5 ID1
5 9471.615484 23100 24 118 DD24 ID25
6 10059.62162 22200 26 116 DD22 IU1
7 10073.28213 22200 0 99 DD5 ID1
8 10086.10648 23400 49 46 IU21 IU24
9 10086.33414 23400 149 45 IU20 DD36
10 10086.97294 22200 95 47 IU22 DD1
11 10084.43982 23400 57 41 IU16 DU1
12 10644.1686 24000 149 42 IU17 DD36
13 10668.17885 24300 24 73 DU17 ID25
14 10668.28828 22200 26 99 DD5 IU1
15 10670.8454 24000 0 43 IU18 ID1
16 10683.05953 22200 92 99 DD5 DU36
17 10683.47782 24000 92 44 IU19 DU36
18 10683.10647 24000 49 85 DU29 IU24
19 10691.81115 24900 57 18 ID19 DU1
20 10693.10327 24600 95 101 DD7 DD1
21 10693.43977 24600 92 103 DD9 DU36
22 10810.77765 23100 24 118 DD24 ID25
23 11253.84541 24600 26 79 DU23 IU1
24 11258.48296 24900 0 103 DD9 ID1
25 11270.81636 24600 24 17 ID18 ID25
26 11272.33434 23400 149 45 IU20 DD36
27 11272.51203 22200 26 99 DD5 IU1
28 11271.14959 22200 0 116 DD22 ID1
29 11276.43982 24600 49 110 DD16 IU24
30 11275.66746 24600 95 77 DU21 DD1
31 11278.14448 24600 57 103 DD9 DU1
32 11276.77315 24600 92 114 DD20 DU36
33 11276.43983 24900 49 106 DD12 IU24
34 11284.63961 22200 95 47 IU22 DD1
35 11290.33412 24900 149 99 DD5 DD36
36 11285.58781 23400 57 46 IU21 DU1
37 11291.00084 24600 95 101 DD7 DD1
38 11294.25449 24900 92 18 ID19 DU36
39 11295.77424 24900 95 101 DD7 DD1
40 11293.14444 23400 49 41 IU16 IU24
41 11846.2066 24000 57 42 IU17 DU1
42 11850.61553 24300 24 73 DU17 ID25
43 11861.14962 24000 26 43 IU18 IU1
44 11868.9489 22200 0 99 DD5 ID1
45 11875.81115 24900 57 18 ID19 DU1
46 11874.94881 23100 24 118 DD24 ID25
47 11874.58781 24600 92 103 DD9 DU36
48 11881.10319 25200 149 108 DD14 DD36
49 11876.27115 24000 49 85 DU29 IU24
50 11879.9211 24000 57 44 IU19 DU1
51 11884.33418 24600 95 101 DD7 DD1
52 11883.60449 25200 92 81 DU25 DU36
53 11887.97296 25200 95 22 ID23 DD1
54 11892.47782 25200 49 21 ID22 IU24
55 11905.2545 24900 24 18 ID19 ID25
56 12017.0724 25200 149 23 ID24 DD36
57 12452.14965 22200 26 99 DD5 IU1
58 12463.95495 24600 0 79 DU23 ID1
59 12466.77315 24600 57 103 DD9 DU1
60 12463.94879 22200 24 116 DD22 ID25
61 12469.33411 24900 95 101 DD7 DD1
62 12470.62164 24900 26 103 DD9 IU1
63 12475.81116 24900 92 106 DD12 DU36
64 12476.63977 24600 95 77 DU21 DD1
65 12478.93777 24900 49 18 ID19 IU24
66 12472.43655 25800 149 83 DU27 DD36
67 12481.58782 26400 57 17 ID18 DU1
68 12482.10318 24600 95 101 DD7 DD1
69 12479.66742 24900 95 99 DD5 DD1
70 12485.10648 23400 92 41 IU16 DU36
71 12484.3062 25800 149 64 DU8 DD36
72 12481.60448 23400 49 46 IU21 IU24
73 12492.97299 22200 95 47 IU22 DD1
74 12494.43982 24600 57 110 DD16 DU1
75 12487.77417 23400 95 45 IU20 DD1
76 12495.92141 24600 92 114 DD20 DU36
77 12624.00081 24600 0 17 ID18 ID1
78 13046.64994 24000 49 42 IU17 IU24
79 13051.28215 26400 24 42 IU17 ID25
80 13046.16178 26400 49 16 ID17 IU24
81 13052.84528 26400 26 83 DU27 IU1
82 13052.05944 24600 149 101 DD7 DD36
83 13053.28828 22200 0 99 DD5 ID1
84 13057.8454 24000 24 43 IU18 ID25
85 13056.10649 24000 57 44 IU19 DU1
86 13065.51217 26400 26 42 IU17 IU1
87 13064.17869 24300 0 73 DU17 ID1
88 13063.43983 25200 92 21 ID22 DU36
89 13072.84538 23100 24 118 DD24 ID25
90 13069.93782 25200 49 81 DU25 IU24
91 13070.4367 25200 149 22 ID23 DD36
92 13075.49516 27000 57 48 IU23 DU1
93 13080.92116 26700 92 69 DU13 DU36
94 13081.44086 25200 95 108 DD14 DD1
95 13073.60448 24600 49 103 DD9 IU24
96 13083.00075 25200 95 23 ID24 DD1
97 13086.47782 24000 57 85 DU29 DU1
98 13087.76976 26400 149 81 DU25 DD36
